Manager,Fund,Date,Change
Tc43,Tc43,2021-04-01,0.0313
Tc43,Tc43,2021-05-01,0.044
Tc43,Tc43,2021-06-01,0.0462
Tc43,Tc43,2021-07-01,0.072
Tc43,Tc43,2021-08-01,0.0483
Tc43,Tc43,2021-09-01,0.03
Tc43,Tc43,2021-10-01,0.0201
Tc43,Tc43,2021-11-01,0.0449
Tc43,Tc43,2021-12-01,0.0667
Tc43,Tc43,2022-01-01,0.0946
Tc43,Tc43,2022-02-01,-0.0077
Tc43,Tc43,2022-03-01,0.07
Tc43,Tc43,2022-04-01,0.0732
Tc43,Tc43,2022-05-01,-0.0612
Tc43,Tc43,2022-06-01,0.0233
Tc43,Tc43,2022-07-01,-0.0201
Tc43,Tc43,2022-08-01,-0.0508
Tc43,Tc43,2022-09-01,0.0036
Tc43,Tc43,2022-10-01,-0.026
Tc43,Tc43,2022-11-01,-0.0769
Tc43,Tc43,2022-12-01,0.0055
Tc43,Tc43,2023-01-01,-0.0624
Tc43,Tc43,2023-02-01,0.0742
Tc43,Tc43,2023-03-01,-0.0081
Tc43,Tc43,2023-04-01,-0.0584
Tc43,Tc43,2023-05-01,0.0129
Tc43,Tc43,2023-06-01,0.0661
Tc43,Tc43,2023-07-01,0.0333
Tc43,Tc43,2023-08-01,0.0565
Tc43,Tc43,2023-09-01,0.0179
Tc43,Tc43,2023-10-01,0.0084
Tc43,Tc43,2023-11-01,0.0585
Tc43,Tc43,2023-12-01,0.0254
Tc43,Tc43,2024-01-01,0.0199
Tc43,Tc43,2024-02-01,-0.0935
Tc43,Tc43,2024-03-01,-0.03
Tc43,Tc43,2024-04-01,-0.012
Tc43,Tc43,2024-05-01,-0.005
Tc43,Tc43,2024-06-01,0.0047
Tc43,Tc43,2024-07-01,0.0147
