Manager,Fund,Date,Change
Trident,Trident Capital Management GM,2019-01-01,0.009
Trident,Trident Capital Management GM,2019-02-01,0.023
Trident,Trident Capital Management GM,2019-03-01,0.032
Trident,Trident Capital Management GM,2019-04-01,0.033
Trident,Trident Capital Management GM,2019-05-01,-0.032
Trident,Trident Capital Management GM,2019-06-01,0.089
Trident,Trident Capital Management GM,2019-07-01,0.004
Trident,Trident Capital Management GM,2019-08-01,0.021
Trident,Trident Capital Management GM,2019-09-01,-0.053
Trident,Trident Capital Management GM,2019-10-01,-0.008
Trident,Trident Capital Management GM,2019-11-01,0.017
Trident,Trident Capital Management GM,2019-12-01,0.025
Trident,Trident Capital Management GM,2020-01-01,0.006
Trident,Trident Capital Management GM,2020-02-01,-0.012
Trident,Trident Capital Management GM,2020-03-01,0.103
Trident,Trident Capital Management GM,2020-04-01,-0.02
Trident,Trident Capital Management GM,2020-05-01,-0.002
Trident,Trident Capital Management GM,2020-06-01,0.011
Trident,Trident Capital Management GM,2020-07-01,0.046
Trident,Trident Capital Management GM,2020-08-01,0.061
Trident,Trident Capital Management GM,2020-09-01,-0.062
Trident,Trident Capital Management GM,2020-10-01,-0.01
Trident,Trident Capital Management GM,2020-11-01,0.012
Trident,Trident Capital Management GM,2020-12-01,0.016
Trident,Trident Capital Management GM,2021-01-01,-0.063
Trident,Trident Capital Management GM,2021-02-01,0.061
Trident,Trident Capital Management GM,2021-03-01,0.009
Trident,Trident Capital Management GM,2021-04-01,0.02
Trident,Trident Capital Management GM,2021-05-01,0.0014
Trident,Trident Capital Management GM,2021-06-01,-0.001
Trident,Trident Capital Management GM,2021-07-01,0.022
Trident,Trident Capital Management GM,2021-08-01,0.01
Trident,Trident Capital Management GM,2021-09-01,-0.066
Trident,Trident Capital Management GM,2021-10-01,0.061
Trident,Trident Capital Management GM,2021-11-01,-0.066
Trident,Trident Capital Management GM,2021-12-01,0.007
Trident,Trident Capital Management GM,2022-01-01,-0.017
Trident,Trident Capital Management GM,2022-02-01,0.001
Trident,Trident Capital Management GM,2022-03-01,0.0021
Trident,Trident Capital Management GM,2022-04-01,0.009
Trident,Trident Capital Management GM,2022-05-01,-0.005
Trident,Trident Capital Management GM,2022-06-01,0.006
Trident,Trident Capital Management GM,2022-07-01,0.005
Trident,Trident Capital Management GM,2022-08-01,-0.006
Trident,Trident Capital Management GM,2022-09-01,0.024
Trident,Trident Capital Management GM,2022-10-01,0.017
Trident,Trident Capital Management GM,2022-11-01,0.008
Trident,Trident Capital Management GM,2022-12-01,-0.006
Trident,Trident Capital Management GM,2023-01-01,0.007
Trident,Trident Capital Management GM,2023-02-01,-0.021
Trident,Trident Capital Management GM,2023-03-01,0.024
Trident,Trident Capital Management GM,2023-04-01,0.001
Trident,Trident Capital Management GM,2023-05-01,0.004
Trident,Trident Capital Management GM,2023-06-01,0.027
Trident,Trident Capital Management GM,2023-07-01,0.021
Trident,Trident Capital Management GM,2023-08-01,-0.031
Trident,Trident Capital Management GM,2023-09-01,-0.068
Trident,Trident Capital Management GM,2023-10-01,-0.037
Trident,Trident Capital Management GM,2023-11-01,0.031
Trident,Trident Capital Management GM,2023-12-01,0.075
Trident,Trident Capital Management GM,2024-01-01,-0.009
Trident,Trident Capital Management GM,2024-02-01,0.028
Trident,Trident Capital Management GM,2024-03-01,0.027
Trident,Trident Capital Management GM,2024-04-01,0.001
Trident,Trident Capital Management GM,2024-05-01,0.037
Trident,Trident Capital Management GM,2024-06-01,-0.004
Trident,Trident Capital Management GM,2024-07-01,-0.01
Trident,Trident Capital Management GM,2024-08-01,0.004
