Manager,Fund,Date,Change
Alpha Wave Global LP,Moraine,2019-01-01,0.005
Alpha Wave Global LP,Moraine,2019-02-01,0.005
Alpha Wave Global LP,Moraine,2019-03-01,-0.006
Alpha Wave Global LP,Moraine,2019-04-01,0.027
Alpha Wave Global LP,Moraine,2019-05-01,-0.028
Alpha Wave Global LP,Moraine,2019-06-01,0.006
Alpha Wave Global LP,Moraine,2019-07-01,0.004
Alpha Wave Global LP,Moraine,2019-08-01,0.002
Alpha Wave Global LP,Moraine,2019-09-01,-0.001
Alpha Wave Global LP,Moraine,2019-10-01,0.012
Alpha Wave Global LP,Moraine,2019-11-01,0.007
Alpha Wave Global LP,Moraine,2019-12-01,0.008
Alpha Wave Global LP,Moraine,2020-01-01,0.005
Alpha Wave Global LP,Moraine,2020-02-01,0.001
Alpha Wave Global LP,Moraine,2020-03-01,-0.101
Alpha Wave Global LP,Moraine,2020-04-01,0.163
Alpha Wave Global LP,Moraine,2020-05-01,0.1
Alpha Wave Global LP,Moraine,2020-06-01,-0.006
Alpha Wave Global LP,Moraine,2020-07-01,0.002
Alpha Wave Global LP,Moraine,2020-08-01,0.058
Alpha Wave Global LP,Moraine,2020-09-01,0.012
Alpha Wave Global LP,Moraine,2020-10-01,-0.005
Alpha Wave Global LP,Moraine,2020-11-01,0.056
Alpha Wave Global LP,Moraine,2020-12-01,0.089
Alpha Wave Global LP,Moraine,2021-01-01,0.04
Alpha Wave Global LP,Moraine,2021-02-01,0.106
Alpha Wave Global LP,Moraine,2021-03-01,-0.038
Alpha Wave Global LP,Moraine,2021-04-01,-0.016
Alpha Wave Global LP,Moraine,2021-05-01,-0.009
Alpha Wave Global LP,Moraine,2021-06-01,0.014
Alpha Wave Global LP,Moraine,2021-07-01,-0.01
Alpha Wave Global LP,Moraine,2021-08-01,0.024
Alpha Wave Global LP,Moraine,2021-09-01,0.01
Alpha Wave Global LP,Moraine,2021-10-01,0.002
Alpha Wave Global LP,Moraine,2021-11-01,-0.019
Alpha Wave Global LP,Moraine,2021-12-01,-0.024
Alpha Wave Global LP,Moraine,2022-01-01,-0.012
Alpha Wave Global LP,Moraine,2022-02-01,-0.004
Alpha Wave Global LP,Moraine,2022-03-01,-0.005
Alpha Wave Global LP,Moraine,2022-04-01,-0.005
Alpha Wave Global LP,Moraine,2022-05-01,0.019
Alpha Wave Global LP,Moraine,2022-06-01,0.004
Alpha Wave Global LP,Moraine,2022-07-01,0.008
Alpha Wave Global LP,Moraine,2022-08-01,0.006
Alpha Wave Global LP,Moraine,2022-09-01,-0.002
Alpha Wave Global LP,Moraine,2022-10-01,0.003
Alpha Wave Global LP,Moraine,2022-11-01,0.011
Alpha Wave Global LP,Moraine,2022-12-01,0.005
Alpha Wave Global LP,Moraine,2023-01-01,0.017
Alpha Wave Global LP,Moraine,2023-02-01,-0.012
Alpha Wave Global LP,Moraine,2023-03-01,0.006
Alpha Wave Global LP,Moraine,2023-04-01,0.001
Alpha Wave Global LP,Moraine,2023-05-01,0.018
Alpha Wave Global LP,Moraine,2023-06-01,0.008
Alpha Wave Global LP,Moraine,2023-07-01,0.003
Alpha Wave Global LP,Moraine,2023-08-01,0.016
Alpha Wave Global LP,Moraine,2023-09-01,0.01
Alpha Wave Global LP,Moraine,2023-10-01,-0.005
Alpha Wave Global LP,Moraine,2023-11-01,0.021
Alpha Wave Global LP,Moraine,2023-12-01,0.054
Alpha Wave Global LP,Moraine,2024-01-01,0.024
Alpha Wave Global LP,Moraine,2024-02-01,0.021
Alpha Wave Global LP,Moraine,2024-03-01,0
Alpha Wave Global LP,Moraine,2024-04-01,0.003
Alpha Wave Global LP,Moraine,2024-05-01,0.014
Alpha Wave Global LP,Moraine,2024-06-01,0.029
,,,
