Manager,Fund,Date,Change
Quest Partners,AlphaQuest Original,2019-01-01,-0.0773
Quest Partners,AlphaQuest Original,2019-02-01,-0.0246
Quest Partners,AlphaQuest Original,2019-03-01,0.0398
Quest Partners,AlphaQuest Original,2019-04-01,-0.0154
Quest Partners,AlphaQuest Original,2019-05-01,0.0652
Quest Partners,AlphaQuest Original,2019-06-01,0.0606
Quest Partners,AlphaQuest Original,2019-07-01,0.021
Quest Partners,AlphaQuest Original,2019-08-01,0.0847
Quest Partners,AlphaQuest Original,2019-09-01,-0.0444
Quest Partners,AlphaQuest Original,2019-10-01,-0.009
Quest Partners,AlphaQuest Original,2019-11-01,-0.0038
Quest Partners,AlphaQuest Original,2019-12-01,-0.018
Quest Partners,AlphaQuest Original,2020-01-01,0.0732
Quest Partners,AlphaQuest Original,2020-02-01,0.0058
Quest Partners,AlphaQuest Original,2020-03-01,0.0881
Quest Partners,AlphaQuest Original,2020-04-01,-0.0018
Quest Partners,AlphaQuest Original,2020-05-01,-0.0436
Quest Partners,AlphaQuest Original,2020-06-01,-0.0043
Quest Partners,AlphaQuest Original,2020-07-01,0.0535
Quest Partners,AlphaQuest Original,2020-08-01,-0.0343
Quest Partners,AlphaQuest Original,2020-09-01,-0.0669
Quest Partners,AlphaQuest Original,2020-10-01,0.0017
Quest Partners,AlphaQuest Original,2020-11-01,-0.0429
Quest Partners,AlphaQuest Original,2020-12-01,0.0144
Quest Partners,AlphaQuest Original,2021-01-01,-0.0484
Quest Partners,AlphaQuest Original,2021-02-01,0.1309
Quest Partners,AlphaQuest Original,2021-03-01,0.029
Quest Partners,AlphaQuest Original,2021-04-01,0.0268
Quest Partners,AlphaQuest Original,2021-05-01,-0.0123
Quest Partners,AlphaQuest Original,2021-06-01,-0.0033
Quest Partners,AlphaQuest Original,2021-07-01,0.0074
Quest Partners,AlphaQuest Original,2021-08-01,-0.0182
Quest Partners,AlphaQuest Original,2021-09-01,-0.0012
Quest Partners,AlphaQuest Original,2021-10-01,0.0765
Quest Partners,AlphaQuest Original,2021-11-01,-0.0482
Quest Partners,AlphaQuest Original,2021-12-01,-0.019
Quest Partners,AlphaQuest Original,2022-01-01,-0.006
Quest Partners,AlphaQuest Original,2022-02-01,0.0069
Quest Partners,AlphaQuest Original,2022-03-01,0.1338
Quest Partners,AlphaQuest Original,2022-04-01,0.0981
Quest Partners,AlphaQuest Original,2022-05-01,-0.0073
Quest Partners,AlphaQuest Original,2022-06-01,0.0123
Quest Partners,AlphaQuest Original,2022-07-01,-0.017
Quest Partners,AlphaQuest Original,2022-08-01,0.02
Quest Partners,AlphaQuest Original,2022-09-01,0.0719
Quest Partners,AlphaQuest Original,2022-10-01,-0.0254
Quest Partners,AlphaQuest Original,2022-11-01,-0.0572
Quest Partners,AlphaQuest Original,2022-12-01,0.0126
Quest Partners,AlphaQuest Original,2023-01-01,-0.0421
Quest Partners,AlphaQuest Original,2023-02-01,-0.0026
Quest Partners,AlphaQuest Original,2023-03-01,-0.0743
Quest Partners,AlphaQuest Original,2023-04-01,0.0208
Quest Partners,AlphaQuest Original,2023-05-01,-0.0177
Quest Partners,AlphaQuest Original,2023-06-01,0.0021
Quest Partners,AlphaQuest Original,2023-07-01,0.0085
Quest Partners,AlphaQuest Original,2023-08-01,-0.0585
Quest Partners,AlphaQuest Original,2023-09-01,0.0748
Quest Partners,AlphaQuest Original,2023-10-01,-0.0054
Quest Partners,AlphaQuest Original,2023-11-01,-0.0231
Quest Partners,AlphaQuest Original,2023-12-01,-0.0116
Quest Partners,AlphaQuest Original,2024-01-01,0.0281
Quest Partners,AlphaQuest Original,2024-02-01,-0.0029
Quest Partners,AlphaQuest Original,2024-03-01,0.0565
Quest Partners,AlphaQuest Original,2024-04-01,0.0745
Quest Partners,AlphaQuest Original,2024-05-01,-0.0458
Quest Partners,AlphaQuest Original,2024-06-01,-0.0112
Quest Partners,AlphaQuest Original,2024-07-01,-0.0493
