Manager,Fund,Date,Change
Apeiron Capital Limited,Apeiron Global Opportunities,2017-02-01,-0.0063
Apeiron Capital Limited,Apeiron Global Opportunities,2017-03-01,0.036
Apeiron Capital Limited,Apeiron Global Opportunities,2017-04-01,0.0245
Apeiron Capital Limited,Apeiron Global Opportunities,2017-05-01,0.0275
Apeiron Capital Limited,Apeiron Global Opportunities,2017-06-01,0.0143
Apeiron Capital Limited,Apeiron Global Opportunities,2017-07-01,0.0134
Apeiron Capital Limited,Apeiron Global Opportunities,2017-08-01,0.0274
Apeiron Capital Limited,Apeiron Global Opportunities,2017-09-01,-0.015
Apeiron Capital Limited,Apeiron Global Opportunities,2017-10-01,0.0391
Apeiron Capital Limited,Apeiron Global Opportunities,2017-11-01,0.0202
Apeiron Capital Limited,Apeiron Global Opportunities,2017-12-01,0.0349
Apeiron Capital Limited,Apeiron Global Opportunities,2018-01-01,0.0661
Apeiron Capital Limited,Apeiron Global Opportunities,2018-02-01,-0.0233
Apeiron Capital Limited,Apeiron Global Opportunities,2018-03-01,-0.0223
Apeiron Capital Limited,Apeiron Global Opportunities,2018-04-01,-0.0117
Apeiron Capital Limited,Apeiron Global Opportunities,2018-05-01,0.0625
Apeiron Capital Limited,Apeiron Global Opportunities,2018-06-01,0.0004
Apeiron Capital Limited,Apeiron Global Opportunities,2018-07-01,0.0019
Apeiron Capital Limited,Apeiron Global Opportunities,2018-08-01,-0.0155
Apeiron Capital Limited,Apeiron Global Opportunities,2018-09-01,-0.0108
Apeiron Capital Limited,Apeiron Global Opportunities,2018-10-01,-0.1132
Apeiron Capital Limited,Apeiron Global Opportunities,2018-11-01,0.0409
Apeiron Capital Limited,Apeiron Global Opportunities,2018-12-01,-0.0333
Apeiron Capital Limited,Apeiron Global Opportunities,2019-01-01,0.091
Apeiron Capital Limited,Apeiron Global Opportunities,2019-02-01,0.0273
Apeiron Capital Limited,Apeiron Global Opportunities,2019-03-01,0.0639
Apeiron Capital Limited,Apeiron Global Opportunities,2019-04-01,0.0412
Apeiron Capital Limited,Apeiron Global Opportunities,2019-05-01,-0.0851
Apeiron Capital Limited,Apeiron Global Opportunities,2019-06-01,0.0681
Apeiron Capital Limited,Apeiron Global Opportunities,2019-07-01,0.0079
Apeiron Capital Limited,Apeiron Global Opportunities,2019-08-01,-0.0171
Apeiron Capital Limited,Apeiron Global Opportunities,2019-09-01,0.0067
Apeiron Capital Limited,Apeiron Global Opportunities,2019-10-01,0.0254
Apeiron Capital Limited,Apeiron Global Opportunities,2019-11-01,0.029
Apeiron Capital Limited,Apeiron Global Opportunities,2019-12-01,0.0464
Apeiron Capital Limited,Apeiron Global Opportunities,2020-01-01,0.066
Apeiron Capital Limited,Apeiron Global Opportunities,2020-02-01,0.0051
Apeiron Capital Limited,Apeiron Global Opportunities,2020-03-01,-0.0554
Apeiron Capital Limited,Apeiron Global Opportunities,2020-04-01,0.162
Apeiron Capital Limited,Apeiron Global Opportunities,2020-05-01,0.022
Apeiron Capital Limited,Apeiron Global Opportunities,2020-06-01,0.1393
Apeiron Capital Limited,Apeiron Global Opportunities,2020-07-01,0.1389
Apeiron Capital Limited,Apeiron Global Opportunities,2020-08-01,0.1513
Apeiron Capital Limited,Apeiron Global Opportunities,2020-09-01,-0.0348
Apeiron Capital Limited,Apeiron Global Opportunities,2020-10-01,0.0169
Apeiron Capital Limited,Apeiron Global Opportunities,2020-11-01,0.0788
Apeiron Capital Limited,Apeiron Global Opportunities,2020-12-01,0.0392
Apeiron Capital Limited,Apeiron Global Opportunities,2021-01-01,0.0856
Apeiron Capital Limited,Apeiron Global Opportunities,2021-02-01,-0.0152
Apeiron Capital Limited,Apeiron Global Opportunities,2021-03-01,-0.0097
Apeiron Capital Limited,Apeiron Global Opportunities,2021-04-01,0.0492
Apeiron Capital Limited,Apeiron Global Opportunities,2021-05-01,-0.0083
Apeiron Capital Limited,Apeiron Global Opportunities,2021-06-01,0.0301
Apeiron Capital Limited,Apeiron Global Opportunities,2021-07-01,-0.0184
Apeiron Capital Limited,Apeiron Global Opportunities,2021-08-01,0.0375
Apeiron Capital Limited,Apeiron Global Opportunities,2021-09-01,-0.0381
Apeiron Capital Limited,Apeiron Global Opportunities,2021-10-01,0.0387
Apeiron Capital Limited,Apeiron Global Opportunities,2021-11-01,-0.0239
Apeiron Capital Limited,Apeiron Global Opportunities,2021-12-01,-0.0339
Apeiron Capital Limited,Apeiron Global Opportunities,2022-01-01,-0.0766
Apeiron Capital Limited,Apeiron Global Opportunities,2022-02-01,-0.0305
Apeiron Capital Limited,Apeiron Global Opportunities,2022-03-01,-0.067
Apeiron Capital Limited,Apeiron Global Opportunities,2022-04-01,-0.0527
Apeiron Capital Limited,Apeiron Global Opportunities,2022-05-01,0.0142
Apeiron Capital Limited,Apeiron Global Opportunities,2022-06-01,0.0264
Apeiron Capital Limited,Apeiron Global Opportunities,2022-07-01,-0.0089
Apeiron Capital Limited,Apeiron Global Opportunities,2022-08-01,0.004
Apeiron Capital Limited,Apeiron Global Opportunities,2022-09-01,-0.0893
Apeiron Capital Limited,Apeiron Global Opportunities,2022-10-01,-0.0242
Apeiron Capital Limited,Apeiron Global Opportunities,2022-11-01,0.0271
Apeiron Capital Limited,Apeiron Global Opportunities,2022-12-01,-0.0029
Apeiron Capital Limited,Apeiron Global Opportunities,2023-01-01,0.0628
Apeiron Capital Limited,Apeiron Global Opportunities,2023-02-01,-0.041
Apeiron Capital Limited,Apeiron Global Opportunities,2023-03-01,0.0483
Apeiron Capital Limited,Apeiron Global Opportunities,2023-04-01,-0.0176
Apeiron Capital Limited,Apeiron Global Opportunities,2023-05-01,-0.0434
Apeiron Capital Limited,Apeiron Global Opportunities,2023-06-01,0.0102
Apeiron Capital Limited,Apeiron Global Opportunities,2023-07-01,0.0496
Apeiron Capital Limited,Apeiron Global Opportunities,2023-08-01,-0.0168
Apeiron Capital Limited,Apeiron Global Opportunities,2023-09-01,0.0001
Apeiron Capital Limited,Apeiron Global Opportunities,2023-10-01,0.0003
Apeiron Capital Limited,Apeiron Global Opportunities,2023-11-01,0.0663
Apeiron Capital Limited,Apeiron Global Opportunities,2023-12-01,0.0266
Apeiron Capital Limited,Apeiron Global Opportunities,2024-01-01,-0.0791
Apeiron Capital Limited,Apeiron Global Opportunities,2024-02-01,0.0551
Apeiron Capital Limited,Apeiron Global Opportunities,2024-03-01,0.0267
Apeiron Capital Limited,Apeiron Global Opportunities,2024-04-01,0.004
Apeiron Capital Limited,Apeiron Global Opportunities,2024-05-01,0.0817
Apeiron Capital Limited,Apeiron Global Opportunities,2024-06-01,-0.0145
