Manager,Fund,Date,Change
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-01-01,-0.0088
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-02-01,0.0304
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-03-01,0.0249
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-04-01,0.0195
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-05-01,-0.0331
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-06-01,0.0302
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-07-01,0.0087
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-08-01,0.039
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-09-01,-0.0389
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-10-01,-0.0361
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-11-01,-0.0137
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2021-12-01,0.0281
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-01-01,0.0499
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-02-01,0.0033
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-03-01,0.1099
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-04-01,0.0882
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-05-01,-0.052
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-06-01,0.0424
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-07-01,-0.0529
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-08-01,0.1187
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-09-01,0.1215
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-10-01,0.0009
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-11-01,-0.0425
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2022-12-01,0.0077
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-01-01,-0.0046
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-02-01,0.023
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-03-01,0.0417
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-04-01,-0.0227
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-05-01,-0.0248
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-06-01,0.0141
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-07-01,0.0258
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-08-01,-0.0018
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-09-01,0.0112
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-10-01,-0.0043
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-11-01,0.002
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2023-12-01,0.0181
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2024-01-01,-0.0297
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2024-02-01,-0.0158
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2024-03-01,0.0146
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2024-04-01,-0.0109
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2024-05-01,0.0066
Astra Ventures Investment Partners ,Astra Ventures Discretionary Global Macro Strategy,2024-06-01,0.0029
