Manager,Fund,Date,Change
Astroll,Astroll ,2023-02-01,-0.005
Astroll,Astroll ,2023-03-01,-0.022
Astroll,Astroll ,2023-04-01,-0.039
Astroll,Astroll ,2023-05-01,-0.025
Astroll,Astroll ,2023-06-01,-0.002
Astroll,Astroll ,2023-07-01,0.045
Astroll,Astroll ,2023-08-01,-0.022
Astroll,Astroll ,2023-09-01,-0.021
Astroll,Astroll ,2023-10-01,-0.008
Astroll,Astroll ,2023-11-01,0.106
Astroll,Astroll ,2023-12-01,-0.006
Astroll,Astroll ,2024-01-01,0.027
Astroll,Astroll ,2024-02-01,0.073
Astroll,Astroll ,2024-03-01,0.009
Astroll,Astroll ,2024-04-01,-0.026
Astroll,Astroll ,2024-05-01,0.058
Astroll,Astroll ,2024-06-01,0.037
,,,
