Manager,Fund,Date,Change
Auspice,Auspice Diversified Trust,2019-01-01,-0.0414
Auspice,Auspice Diversified Trust,2019-02-01,-0.0047
Auspice,Auspice Diversified Trust,2019-03-01,-0.0065
Auspice,Auspice Diversified Trust,2019-04-01,0.035
Auspice,Auspice Diversified Trust,2019-05-01,-0.0743
Auspice,Auspice Diversified Trust,2019-06-01,-0.0037
Auspice,Auspice Diversified Trust,2019-07-01,0.0052
Auspice,Auspice Diversified Trust,2019-08-01,0.0106
Auspice,Auspice Diversified Trust,2019-09-01,-0.0759
Auspice,Auspice Diversified Trust,2019-10-01,-0.0133
Auspice,Auspice Diversified Trust,2019-11-01,0.0142
Auspice,Auspice Diversified Trust,2019-12-01,0.0025
Auspice,Auspice Diversified Trust,2020-01-01,-0.0206
Auspice,Auspice Diversified Trust,2020-02-01,-0.0019
Auspice,Auspice Diversified Trust,2020-03-01,0.0972
Auspice,Auspice Diversified Trust,2020-04-01,-0.0316
Auspice,Auspice Diversified Trust,2020-05-01,-0.0047
Auspice,Auspice Diversified Trust,2020-06-01,0.0028
Auspice,Auspice Diversified Trust,2020-07-01,0.0336
Auspice,Auspice Diversified Trust,2020-08-01,0.0208
Auspice,Auspice Diversified Trust,2020-09-01,-0.0215
Auspice,Auspice Diversified Trust,2020-10-01,0.0099
Auspice,Auspice Diversified Trust,2020-11-01,0.0269
Auspice,Auspice Diversified Trust,2020-12-01,0.0673
Auspice,Auspice Diversified Trust,2021-01-01,0.0267
Auspice,Auspice Diversified Trust,2021-02-01,0.0955
Auspice,Auspice Diversified Trust,2021-03-01,-0.0089
Auspice,Auspice Diversified Trust,2021-04-01,0.0461
Auspice,Auspice Diversified Trust,2021-05-01,0.0061
Auspice,Auspice Diversified Trust,2021-06-01,-0.015
Auspice,Auspice Diversified Trust,2021-07-01,-0.0177
Auspice,Auspice Diversified Trust,2021-08-01,0.0098
Auspice,Auspice Diversified Trust,2021-09-01,0.0049
Auspice,Auspice Diversified Trust,2021-10-01,0.0132
Auspice,Auspice Diversified Trust,2021-11-01,-0.0428
Auspice,Auspice Diversified Trust,2021-12-01,-0.0189
Auspice,Auspice Diversified Trust,2022-01-01,0.022
Auspice,Auspice Diversified Trust,2022-02-01,0.0432
Auspice,Auspice Diversified Trust,2022-03-01,0.0795
Auspice,Auspice Diversified Trust,2022-04-01,0.0354
Auspice,Auspice Diversified Trust,2022-05-01,-0.0184
Auspice,Auspice Diversified Trust,2022-06-01,0.0055
Auspice,Auspice Diversified Trust,2022-07-01,-0.029
Auspice,Auspice Diversified Trust,2022-08-01,-0.0017
Auspice,Auspice Diversified Trust,2022-09-01,0.0243
Auspice,Auspice Diversified Trust,2022-10-01,-0.0051
Auspice,Auspice Diversified Trust,2022-11-01,-0.043
Auspice,Auspice Diversified Trust,2022-12-01,0
Auspice,Auspice Diversified Trust,2023-01-01,0.0215
Auspice,Auspice Diversified Trust,2023-02-01,-0.0364
Auspice,Auspice Diversified Trust,2023-03-01,0.0034
Auspice,Auspice Diversified Trust,2023-04-01,0.0292
Auspice,Auspice Diversified Trust,2023-05-01,0.0087
Auspice,Auspice Diversified Trust,2023-06-01,-0.0221
Auspice,Auspice Diversified Trust,2023-07-01,-0.0036
Auspice,Auspice Diversified Trust,2023-08-01,-0.008
Auspice,Auspice Diversified Trust,2023-09-01,0.0337
Auspice,Auspice Diversified Trust,2023-10-01,-0.0336
Auspice,Auspice Diversified Trust,2023-11-01,-0.0335
Auspice,Auspice Diversified Trust,2023-12-01,-0.0049
Auspice,Auspice Diversified Trust,2024-01-01,-0.0118
Auspice,Auspice Diversified Trust,2024-02-01,0.0295
Auspice,Auspice Diversified Trust,2024-03-01,-0.0004
Auspice,Auspice Diversified Trust,2024-04-01,0.0271
Auspice,Auspice Diversified Trust,2024-05-01,-0.0212
Auspice,Auspice Diversified Trust,2024-06-01,-0.0264
Auspice,Auspice Diversified Trust,2024-07-01,-0.0097
