Manager,Fund,Date,Change
Axebrook Capital,Axebrook Credit Alpha,2020-07-01,0.022
Axebrook Capital,Axebrook Credit Alpha,2020-08-01,-0.005
Axebrook Capital,Axebrook Credit Alpha,2020-09-01,-0.002
Axebrook Capital,Axebrook Credit Alpha,2020-10-01,0.002
Axebrook Capital,Axebrook Credit Alpha,2020-11-01,0.035
Axebrook Capital,Axebrook Credit Alpha,2020-12-01,0.03
Axebrook Capital,Axebrook Credit Alpha,2021-01-01,0.024
Axebrook Capital,Axebrook Credit Alpha,2021-02-01,0.11
Axebrook Capital,Axebrook Credit Alpha,2021-03-01,0.026
Axebrook Capital,Axebrook Credit Alpha,2021-04-01,0.008
Axebrook Capital,Axebrook Credit Alpha,2021-05-01,0.017
Axebrook Capital,Axebrook Credit Alpha,2021-06-01,0.012
Axebrook Capital,Axebrook Credit Alpha,2021-07-01,0.003
Axebrook Capital,Axebrook Credit Alpha,2021-08-01,0.007
Axebrook Capital,Axebrook Credit Alpha,2021-09-01,0.003
Axebrook Capital,Axebrook Credit Alpha,2021-10-01,-0.004
Axebrook Capital,Axebrook Credit Alpha,2021-11-01,0.001
Axebrook Capital,Axebrook Credit Alpha,2021-12-01,0.001
Axebrook Capital,Axebrook Credit Alpha,2022-01-01,0.009
Axebrook Capital,Axebrook Credit Alpha,2022-02-01,0.008
Axebrook Capital,Axebrook Credit Alpha,2022-03-01,0.014
Axebrook Capital,Axebrook Credit Alpha,2022-04-01,0.008
Axebrook Capital,Axebrook Credit Alpha,2022-05-01,0.006
Axebrook Capital,Axebrook Credit Alpha,2022-06-01,-0.011
Axebrook Capital,Axebrook Credit Alpha,2022-07-01,0.015
Axebrook Capital,Axebrook Credit Alpha,2022-08-01,0.014
Axebrook Capital,Axebrook Credit Alpha,2022-09-01,-0.012
Axebrook Capital,Axebrook Credit Alpha,2022-10-01,0.005
Axebrook Capital,Axebrook Credit Alpha,2022-11-01,0
Axebrook Capital,Axebrook Credit Alpha,2022-12-01,0.007
Axebrook Capital,Axebrook Credit Alpha,2023-01-01,0.029
Axebrook Capital,Axebrook Credit Alpha,2023-02-01,0.006
Axebrook Capital,Axebrook Credit Alpha,2023-03-01,0
Axebrook Capital,Axebrook Credit Alpha,2023-04-01,0.003
Axebrook Capital,Axebrook Credit Alpha,2023-05-01,0.001
Axebrook Capital,Axebrook Credit Alpha,2023-06-01,0.004
Axebrook Capital,Axebrook Credit Alpha,2023-07-01,0.006
Axebrook Capital,Axebrook Credit Alpha,2023-08-01,0.004
Axebrook Capital,Axebrook Credit Alpha,2023-09-01,0.009
Axebrook Capital,Axebrook Credit Alpha,2023-10-01,-0.001
Axebrook Capital,Axebrook Credit Alpha,2023-11-01,0.02
Axebrook Capital,Axebrook Credit Alpha,2023-12-01,0.027
Axebrook Capital,Axebrook Credit Alpha,2024-01-01,0.026
Axebrook Capital,Axebrook Credit Alpha,2024-02-01,0.014
Axebrook Capital,Axebrook Credit Alpha,2024-03-01,0.005
Axebrook Capital,Axebrook Credit Alpha,2024-04-01,-0.005
Axebrook Capital,Axebrook Credit Alpha,2024-05-01,-0.001
Axebrook Capital,Axebrook Credit Alpha,2024-06-01,0.006
