Manager,Fund,Date,Change
BCK Capital Management ,BCK Charter Oak,2020-03-01,-0.1347
BCK Capital Management ,BCK Charter Oak,2020-04-01,0.0679
BCK Capital Management ,BCK Charter Oak,2020-05-01,0.0131
BCK Capital Management ,BCK Charter Oak,2020-06-01,0.0006
BCK Capital Management ,BCK Charter Oak,2020-07-01,0.0244
BCK Capital Management ,BCK Charter Oak,2020-08-01,0.0395
BCK Capital Management ,BCK Charter Oak,2020-09-01,0.0251
BCK Capital Management ,BCK Charter Oak,2020-10-01,0.0116
BCK Capital Management ,BCK Charter Oak,2020-11-01,0.07
BCK Capital Management ,BCK Charter Oak,2020-12-01,0.0216
BCK Capital Management ,BCK Charter Oak,2021-01-01,0.0037
BCK Capital Management ,BCK Charter Oak,2021-02-01,0.0447
BCK Capital Management ,BCK Charter Oak,2021-03-01,-0.0189
BCK Capital Management ,BCK Charter Oak,2021-04-01,0.041
BCK Capital Management ,BCK Charter Oak,2021-05-01,0.002
BCK Capital Management ,BCK Charter Oak,2021-06-01,-0.0132
BCK Capital Management ,BCK Charter Oak,2021-07-01,-0.0648
BCK Capital Management ,BCK Charter Oak,2021-08-01,0.0369
BCK Capital Management ,BCK Charter Oak,2021-09-01,0.025
BCK Capital Management ,BCK Charter Oak,2021-10-01,0.0216
BCK Capital Management ,BCK Charter Oak,2021-11-01,0.0235
BCK Capital Management ,BCK Charter Oak,2021-12-01,-0.0198
BCK Capital Management ,BCK Charter Oak,2022-01-01,-0.0618
BCK Capital Management ,BCK Charter Oak,2022-02-01,0.0318
BCK Capital Management ,BCK Charter Oak,2022-03-01,0.0362
BCK Capital Management ,BCK Charter Oak,2022-04-01,-0.025
BCK Capital Management ,BCK Charter Oak,2022-05-01,-0.0288
BCK Capital Management ,BCK Charter Oak,2022-06-01,-0.0385
BCK Capital Management ,BCK Charter Oak,2022-07-01,0.082
BCK Capital Management ,BCK Charter Oak,2022-08-01,0.022
BCK Capital Management ,BCK Charter Oak,2022-09-01,0.0219
BCK Capital Management ,BCK Charter Oak,2022-10-01,0.0701
BCK Capital Management ,BCK Charter Oak,2022-11-01,-0.0105
BCK Capital Management ,BCK Charter Oak,2022-12-01,0.002
BCK Capital Management ,BCK Charter Oak,2023-01-01,0.0089
BCK Capital Management ,BCK Charter Oak,2023-02-01,-0.0361
BCK Capital Management ,BCK Charter Oak,2023-03-01,-0.0298
BCK Capital Management ,BCK Charter Oak,2023-04-01,0.0319
BCK Capital Management ,BCK Charter Oak,2023-05-01,-0.0696
BCK Capital Management ,BCK Charter Oak,2023-06-01,0.0128
BCK Capital Management ,BCK Charter Oak,2023-07-01,0.0639
BCK Capital Management ,BCK Charter Oak,2023-08-01,-0.02
BCK Capital Management ,BCK Charter Oak,2023-09-01,0.0156
BCK Capital Management ,BCK Charter Oak,2023-10-01,-0.0156
BCK Capital Management ,BCK Charter Oak,2023-11-01,-0.0181
BCK Capital Management ,BCK Charter Oak,2023-12-01,0.1169
BCK Capital Management ,BCK Charter Oak,2024-01-01,0.0043
BCK Capital Management ,BCK Charter Oak,2024-02-01,-0.019
BCK Capital Management ,BCK Charter Oak,2024-03-01,0.0235
BCK Capital Management ,BCK Charter Oak,2024-04-01,-0.0388
BCK Capital Management ,BCK Charter Oak,2024-05-01,-0.0115
BCK Capital Management ,BCK Charter Oak,2024-06-01,0.0173
