Manager,Fund,Date,Change
Cheyne Capital Management,Cheyne Total Return Credit,2020-03-01,-0.27
Cheyne Capital Management,Cheyne Total Return Credit,2020-04-01,0.087
Cheyne Capital Management,Cheyne Total Return Credit,2020-05-01,0.042
Cheyne Capital Management,Cheyne Total Return Credit,2020-06-01,0.025
Cheyne Capital Management,Cheyne Total Return Credit,2020-07-01,0.044
Cheyne Capital Management,Cheyne Total Return Credit,2020-08-01,0.035
Cheyne Capital Management,Cheyne Total Return Credit,2020-09-01,-0.023
Cheyne Capital Management,Cheyne Total Return Credit,2020-10-01,-0.001
Cheyne Capital Management,Cheyne Total Return Credit,2020-11-01,0.065
Cheyne Capital Management,Cheyne Total Return Credit,2020-12-01,0.003
Cheyne Capital Management,Cheyne Total Return Credit,2021-01-01,-0.008
Cheyne Capital Management,Cheyne Total Return Credit,2021-02-01,0.015
Cheyne Capital Management,Cheyne Total Return Credit,2021-03-01,0.019
Cheyne Capital Management,Cheyne Total Return Credit,2021-04-01,0.02
Cheyne Capital Management,Cheyne Total Return Credit,2021-05-01,-0.001
Cheyne Capital Management,Cheyne Total Return Credit,2021-06-01,0.013
Cheyne Capital Management,Cheyne Total Return Credit,2021-07-01,0.001
Cheyne Capital Management,Cheyne Total Return Credit,2021-08-01,0.016
Cheyne Capital Management,Cheyne Total Return Credit,2021-09-01,0.004
Cheyne Capital Management,Cheyne Total Return Credit,2021-10-01,-0.002
Cheyne Capital Management,Cheyne Total Return Credit,2021-11-01,-0.016
Cheyne Capital Management,Cheyne Total Return Credit,2021-12-01,0.024
Cheyne Capital Management,Cheyne Total Return Credit,2022-01-01,-0.048
Cheyne Capital Management,Cheyne Total Return Credit,2022-02-01,-0.037
Cheyne Capital Management,Cheyne Total Return Credit,2022-03-01,0.016
Cheyne Capital Management,Cheyne Total Return Credit,2022-04-01,-0.072
Cheyne Capital Management,Cheyne Total Return Credit,2022-05-01,-0.015
Cheyne Capital Management,Cheyne Total Return Credit,2022-06-01,-0.145
Cheyne Capital Management,Cheyne Total Return Credit,2022-07-01,0.095
Cheyne Capital Management,Cheyne Total Return Credit,2022-08-01,0.005
Cheyne Capital Management,Cheyne Total Return Credit,2022-09-01,-0.035
Cheyne Capital Management,Cheyne Total Return Credit,2022-10-01,0.085
Cheyne Capital Management,Cheyne Total Return Credit,2022-11-01,0.062
Cheyne Capital Management,Cheyne Total Return Credit,2022-12-01,-0.001
Cheyne Capital Management,Cheyne Total Return Credit,2023-01-01,0.082
Cheyne Capital Management,Cheyne Total Return Credit,2023-02-01,0
Cheyne Capital Management,Cheyne Total Return Credit,2023-03-01,0.005
Cheyne Capital Management,Cheyne Total Return Credit,2023-04-01,0.005
Cheyne Capital Management,Cheyne Total Return Credit,2023-05-01,0.01
Cheyne Capital Management,Cheyne Total Return Credit,2023-06-01,0.03
Cheyne Capital Management,Cheyne Total Return Credit,2023-07-01,0.029
Cheyne Capital Management,Cheyne Total Return Credit,2023-08-01,0.002
Cheyne Capital Management,Cheyne Total Return Credit,2023-09-01,0.017
Cheyne Capital Management,Cheyne Total Return Credit,2023-10-01,-0.004
Cheyne Capital Management,Cheyne Total Return Credit,2023-11-01,0.046
Cheyne Capital Management,Cheyne Total Return Credit,2023-12-01,0.024
Cheyne Capital Management,Cheyne Total Return Credit,2024-01-01,0.011
Cheyne Capital Management,Cheyne Total Return Credit,2024-02-01,0.017
Cheyne Capital Management,Cheyne Total Return Credit,2024-03-01,0.02
Cheyne Capital Management,Cheyne Total Return Credit,2024-04-01,-0.001
Cheyne Capital Management,Cheyne Total Return Credit,2024-05-01,0.015
Cheyne Capital Management,Cheyne Total Return Credit,2024-06-01,-0.005
