Manager,Fund,Date,Change
Coleman Capital,Coleman Fixed Income,2021-08-01,-0.0007
Coleman Capital,Coleman Fixed Income,2021-09-01,0.0068
Coleman Capital,Coleman Fixed Income,2021-10-01,0.0039
Coleman Capital,Coleman Fixed Income,2021-11-01,-0.0002
Coleman Capital,Coleman Fixed Income,2021-12-01,0.0016
Coleman Capital,Coleman Fixed Income,2022-01-01,0.0208
Coleman Capital,Coleman Fixed Income,2022-02-01,0.0135
Coleman Capital,Coleman Fixed Income,2022-03-01,0.0149
Coleman Capital,Coleman Fixed Income,2022-04-01,0.0251
Coleman Capital,Coleman Fixed Income,2022-05-01,0.0097
Coleman Capital,Coleman Fixed Income,2022-06-01,-0.0086
Coleman Capital,Coleman Fixed Income,2022-07-01,-0.0051
Coleman Capital,Coleman Fixed Income,2022-08-01,0.0097
Coleman Capital,Coleman Fixed Income,2022-09-01,0.0053
Coleman Capital,Coleman Fixed Income,2022-10-01,-0.0265
Coleman Capital,Coleman Fixed Income,2022-11-01,-0.0171
Coleman Capital,Coleman Fixed Income,2022-12-01,0.0155
Coleman Capital,Coleman Fixed Income,2023-01-01,0.0301
Coleman Capital,Coleman Fixed Income,2023-02-01,0.0155
Coleman Capital,Coleman Fixed Income,2023-03-01,-0.0093
Coleman Capital,Coleman Fixed Income,2023-04-01,0.023
Coleman Capital,Coleman Fixed Income,2023-05-01,0.0028
Coleman Capital,Coleman Fixed Income,2023-06-01,-0.0084
Coleman Capital,Coleman Fixed Income,2023-07-01,0.0032
Coleman Capital,Coleman Fixed Income,2023-08-01,0.0025
Coleman Capital,Coleman Fixed Income,2023-09-01,0.0251
Coleman Capital,Coleman Fixed Income,2023-10-01,-0.0173
Coleman Capital,Coleman Fixed Income,2023-11-01,0.0275
Coleman Capital,Coleman Fixed Income,2023-12-01,0.0187
Coleman Capital,Coleman Fixed Income,2024-01-01,0.0326
Coleman Capital,Coleman Fixed Income,2024-02-01,0.0098
Coleman Capital,Coleman Fixed Income,2024-03-01,-0.0134
Coleman Capital,Coleman Fixed Income,2024-04-01,0.0318
,,,
,,,
,,,
