Manager,Fund,Date,Change
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-02-01,0.0208
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-03-01,0.0019
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-04-01,0.0033
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-05-01,-0.0046
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-06-01,0.0045
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-07-01,0.0391
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-08-01,0.0001
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-09-01,-0.0024
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-10-01,0.0015
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-11-01,0.0037
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2020-12-01,0.0106
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-01-01,0.0133
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-02-01,0.0005
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-03-01,-0.0112
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-04-01,-0.0114
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-05-01,0.0029
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-06-01,-0.0228
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-07-01,-0.0069
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-08-01,0.0057
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-09-01,-0.0254
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-10-01,-0.0091
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-11-01,0.0046
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2021-12-01,-0.0129
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-01-01,-0.005
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-02-01,-0.0033
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-03-01,0.0043
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-04-01,0.0487
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-05-01,0.0186
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-06-01,0.0327
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-07-01,-0.0242
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-08-01,-0.0466
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-09-01,-0.0149
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-10-01,0.0085
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-11-01,0.0176
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2022-12-01,0.0174
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-01-01,0.0383
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-02-01,-0.0141
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-03-01,0.0073
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-04-01,-0.0172
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-05-01,0.012
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-06-01,0.0038
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-07-01,0.0203
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-08-01,0.0158
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-09-01,0.0045
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-10-01,0.0041
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-11-01,0.0262
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2023-12-01,0.0154
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2024-01-01,0.0153
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2024-02-01,0.0194
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2024-03-01,0.0284
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2024-04-01,0.0101
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2024-05-01,0.0188
Dymon Asia Capital,Dymon Asia Multi-Strategy Investment ,2024-06-01,0.0263
