Manager,Fund,Date,Change
EMC Capital Advisors,Classic Program,2015-01-01,0.034
EMC Capital Advisors,Classic Program,2015-02-01,-0.015
EMC Capital Advisors,Classic Program,2015-03-01,0.005
EMC Capital Advisors,Classic Program,2015-04-01,0.001
EMC Capital Advisors,Classic Program,2015-05-01,0.007
EMC Capital Advisors,Classic Program,2015-06-01,-0.046
EMC Capital Advisors,Classic Program,2015-07-01,0.047
EMC Capital Advisors,Classic Program,2015-08-01,-0.026
EMC Capital Advisors,Classic Program,2015-09-01,0.039
EMC Capital Advisors,Classic Program,2015-10-01,-0.036
EMC Capital Advisors,Classic Program,2015-11-01,0.031
EMC Capital Advisors,Classic Program,2015-12-01,-0.033
EMC Capital Advisors,Classic Program,2016-01-01,0.086
EMC Capital Advisors,Classic Program,2016-02-01,0.05
EMC Capital Advisors,Classic Program,2016-03-01,-0.07
EMC Capital Advisors,Classic Program,2016-04-01,-0.068
EMC Capital Advisors,Classic Program,2016-05-01,-0.023
EMC Capital Advisors,Classic Program,2016-06-01,0.021
EMC Capital Advisors,Classic Program,2016-07-01,0.018
EMC Capital Advisors,Classic Program,2016-08-01,-0.054
EMC Capital Advisors,Classic Program,2016-09-01,-0.014
EMC Capital Advisors,Classic Program,2016-10-01,-0.049
EMC Capital Advisors,Classic Program,2016-11-01,-0.025
EMC Capital Advisors,Classic Program,2016-12-01,-0.009
EMC Capital Advisors,Classic Program,2017-01-01,-0.008
EMC Capital Advisors,Classic Program,2017-02-01,0.047
EMC Capital Advisors,Classic Program,2017-03-01,-0.064
EMC Capital Advisors,Classic Program,2017-04-01,0.004
EMC Capital Advisors,Classic Program,2017-05-01,0.02
EMC Capital Advisors,Classic Program,2017-06-01,-0.045
EMC Capital Advisors,Classic Program,2017-07-01,0.009
EMC Capital Advisors,Classic Program,2017-08-01,0.011
EMC Capital Advisors,Classic Program,2017-09-01,-0.067
EMC Capital Advisors,Classic Program,2017-10-01,0.062
EMC Capital Advisors,Classic Program,2017-11-01,-0.005
EMC Capital Advisors,Classic Program,2017-12-01,0.03
EMC Capital Advisors,Classic Program,2018-01-01,0.125
EMC Capital Advisors,Classic Program,2018-02-01,-0.058
EMC Capital Advisors,Classic Program,2018-03-01,-0.016
EMC Capital Advisors,Classic Program,2018-04-01,0.001
EMC Capital Advisors,Classic Program,2018-05-01,-0.027
EMC Capital Advisors,Classic Program,2018-06-01,-0.012
EMC Capital Advisors,Classic Program,2018-07-01,-0.007
EMC Capital Advisors,Classic Program,2018-08-01,0.018
EMC Capital Advisors,Classic Program,2018-09-01,-0.01
EMC Capital Advisors,Classic Program,2018-10-01,-0.044
EMC Capital Advisors,Classic Program,2018-11-01,0.009
EMC Capital Advisors,Classic Program,2018-12-01,0.016
EMC Capital Advisors,Classic Program,2019-01-01,-0.058
EMC Capital Advisors,Classic Program,2019-02-01,-0.003
EMC Capital Advisors,Classic Program,2019-03-01,0.037
EMC Capital Advisors,Classic Program,2019-04-01,0.014
EMC Capital Advisors,Classic Program,2019-05-01,0.062
EMC Capital Advisors,Classic Program,2019-06-01,-0.018
EMC Capital Advisors,Classic Program,2019-07-01,0.017
