Manager,Fund,Date,Change
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-01-01,0.0188
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-02-01,0.0105
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-03-01,0.0529
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-04-01,0.0025
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-05-01,0.0152
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-06-01,0.0438
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-07-01,0.0155
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-08-01,0.034
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-09-01,-0.0289
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-10-01,-0.0311
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-11-01,0.0089
Fort Investor Relations,"Global Diversified Program
FORT LP",2019-12-01,-0.0036
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-01-01,0.0313
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-02-01,-0.0139
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-03-01,-0.1114
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-04-01,0.0095
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-05-01,0.0044
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-06-01,0.0034
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-07-01,0.017
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-08-01,-0.0099
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-09-01,-0.0056
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-10-01,-0.0073
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-11-01,-0.002
Fort Investor Relations,"Global Diversified Program
FORT LP",2020-12-01,0.0076
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-01-01,-0.0131
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-02-01,-0.033
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-03-01,0.0244
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-04-01,0.0113
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-05-01,0.0111
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-06-01,0.0007
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-07-01,0.0278
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-08-01,-0.007
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-09-01,-0.0501
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-10-01,0.031
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-11-01,0.0042
Fort Investor Relations,"Global Diversified Program
FORT LP",2021-12-01,0.0117
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-01-01,-0.0473
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-02-01,-0.0193
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-03-01,-0.0198
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-04-01,-0.0432
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-05-01,-0.0005
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-06-01,-0.0939
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-07-01,-0.0166
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-08-01,-0.0108
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-09-01,0.0155
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-10-01,0.0382
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-11-01,-0.0422
Fort Investor Relations,"Global Diversified Program
FORT LP",2022-12-01,0.0138
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-01-01,-0.0409
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-02-01,0.0306
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-03-01,-0.039
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-04-01,0.0028
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-05-01,-0.0047
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-06-01,0.0703
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-07-01,-0.0031
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-08-01,-0.0047
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-09-01,0.0248
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-10-01,-0.0029
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-11-01,-0.0293
Fort Investor Relations,"Global Diversified Program
FORT LP",2023-12-01,-0.0253
Fort Investor Relations,"Global Diversified Program
FORT LP",2024-01-01,0.0126
Fort Investor Relations,"Global Diversified Program
FORT LP",2024-02-01,0.0302
Fort Investor Relations,"Global Diversified Program
FORT LP",2024-03-01,0.0176
Fort Investor Relations,"Global Diversified Program
FORT LP",2024-04-01,0.0281
Fort Investor Relations,"Global Diversified Program
FORT LP",2024-05-01,0.0011
Fort Investor Relations,"Global Diversified Program
FORT LP",2024-06-01,-0.0039
