Manager,Fund,Date,Change
Gillson Capital,Gillson Capital Master ,2016-07-01,-0.0132
Gillson Capital,Gillson Capital Master ,2016-08-01,0.0065
Gillson Capital,Gillson Capital Master ,2016-09-01,0.0177
Gillson Capital,Gillson Capital Master ,2016-10-01,-0.012
Gillson Capital,Gillson Capital Master ,2016-11-01,0.017
Gillson Capital,Gillson Capital Master ,2016-12-01,0.0403
Gillson Capital,Gillson Capital Master ,2017-01-01,0.0021
Gillson Capital,Gillson Capital Master ,2017-02-01,-0.0007
Gillson Capital,Gillson Capital Master ,2017-03-01,-0.0159
Gillson Capital,Gillson Capital Master ,2017-04-01,0.0177
Gillson Capital,Gillson Capital Master ,2017-05-01,-0.0015
Gillson Capital,Gillson Capital Master ,2017-06-01,-0.0061
Gillson Capital,Gillson Capital Master ,2017-07-01,0.0043
Gillson Capital,Gillson Capital Master ,2017-08-01,0.012
Gillson Capital,Gillson Capital Master ,2017-09-01,0.0105
Gillson Capital,Gillson Capital Master ,2017-10-01,0.0081
Gillson Capital,Gillson Capital Master ,2017-11-01,0.0034
Gillson Capital,Gillson Capital Master ,2017-12-01,0.0624
Gillson Capital,Gillson Capital Master ,2018-01-01,0.0086
Gillson Capital,Gillson Capital Master ,2018-02-01,-0.0158
Gillson Capital,Gillson Capital Master ,2018-03-01,0.0252
Gillson Capital,Gillson Capital Master ,2018-04-01,0.0352
Gillson Capital,Gillson Capital Master ,2018-05-01,0.0113
Gillson Capital,Gillson Capital Master ,2018-06-01,0.0008
Gillson Capital,Gillson Capital Master ,2018-07-01,-0.0018
Gillson Capital,Gillson Capital Master ,2018-08-01,0.0165
Gillson Capital,Gillson Capital Master ,2018-09-01,-0.0079
Gillson Capital,Gillson Capital Master ,2018-10-01,-0.0067
Gillson Capital,Gillson Capital Master ,2018-11-01,-0.0049
Gillson Capital,Gillson Capital Master ,2018-12-01,-0.0029
Gillson Capital,Gillson Capital Master ,2019-01-01,-0.0044
Gillson Capital,Gillson Capital Master ,2019-02-01,0.0065
Gillson Capital,Gillson Capital Master ,2019-03-01,0.0086
Gillson Capital,Gillson Capital Master ,2019-04-01,0.0061
Gillson Capital,Gillson Capital Master ,2019-05-01,0.0037
Gillson Capital,Gillson Capital Master ,2019-06-01,-0.0016
Gillson Capital,Gillson Capital Master ,2019-07-01,0.0342
Gillson Capital,Gillson Capital Master ,2019-08-01,0.0067
Gillson Capital,Gillson Capital Master ,2019-09-01,-0.01
Gillson Capital,Gillson Capital Master ,2019-10-01,0.0067
Gillson Capital,Gillson Capital Master ,2019-11-01,-0.0033
Gillson Capital,Gillson Capital Master ,2019-12-01,0.0081
Gillson Capital,Gillson Capital Master ,2020-01-01,0.0098
Gillson Capital,Gillson Capital Master ,2020-02-01,-0.0007
Gillson Capital,Gillson Capital Master ,2020-03-01,0.0317
Gillson Capital,Gillson Capital Master ,2020-04-01,0.0023
Gillson Capital,Gillson Capital Master ,2020-05-01,0.0038
Gillson Capital,Gillson Capital Master ,2020-06-01,-0.0074
Gillson Capital,Gillson Capital Master ,2020-07-01,0.0044
Gillson Capital,Gillson Capital Master ,2020-08-01,-0.0019
Gillson Capital,Gillson Capital Master ,2020-09-01,0.0053
Gillson Capital,Gillson Capital Master ,2020-10-01,0.0003
Gillson Capital,Gillson Capital Master ,2020-11-01,-0.0064
Gillson Capital,Gillson Capital Master ,2020-12-01,0.0081
Gillson Capital,Gillson Capital Master ,2021-01-01,-0.0103
Gillson Capital,Gillson Capital Master ,2021-02-01,0.0137
Gillson Capital,Gillson Capital Master ,2021-03-01,-0.0007
Gillson Capital,Gillson Capital Master ,2021-04-01,0.004
Gillson Capital,Gillson Capital Master ,2021-05-01,-0.0032
Gillson Capital,Gillson Capital Master ,2021-06-01,-0.0058
Gillson Capital,Gillson Capital Master ,2021-07-01,0.0147
Gillson Capital,Gillson Capital Master ,2021-08-01,-0.0074
Gillson Capital,Gillson Capital Master ,2021-09-01,0.0171
Gillson Capital,Gillson Capital Master ,2021-10-01,0.0035
Gillson Capital,Gillson Capital Master ,2021-11-01,-0.0008
Gillson Capital,Gillson Capital Master ,2021-12-01,-0.0103
Gillson Capital,Gillson Capital Master ,2022-01-01,-0.0108
Gillson Capital,Gillson Capital Master ,2022-02-01,0.0084
Gillson Capital,Gillson Capital Master ,2022-03-01,-0.0242
Gillson Capital,Gillson Capital Master ,2022-04-01,0.013
Gillson Capital,Gillson Capital Master ,2022-05-01,-0.0121
Gillson Capital,Gillson Capital Master ,2022-06-01,0.014
Gillson Capital,Gillson Capital Master ,2022-07-01,0.0079
Gillson Capital,Gillson Capital Master ,2022-08-01,-0.0025
Gillson Capital,Gillson Capital Master ,2022-09-01,-0.0006
Gillson Capital,Gillson Capital Master ,2022-10-01,0.016
Gillson Capital,Gillson Capital Master ,2022-11-01,-0.0049
Gillson Capital,Gillson Capital Master ,2022-12-01,0.0098
Gillson Capital,Gillson Capital Master ,2023-01-01,0.0004
Gillson Capital,Gillson Capital Master ,2023-02-01,0.0059
Gillson Capital,Gillson Capital Master ,2023-03-01,0.0237
Gillson Capital,Gillson Capital Master ,2023-04-01,0.0033
Gillson Capital,Gillson Capital Master ,2023-05-01,-0.0033
Gillson Capital,Gillson Capital Master ,2023-06-01,-0.0047
Gillson Capital,Gillson Capital Master ,2023-07-01,-0.001
Gillson Capital,Gillson Capital Master ,2023-08-01,0.0097
Gillson Capital,Gillson Capital Master ,2023-09-01,-0.0007
Gillson Capital,Gillson Capital Master ,2023-10-01,0.0043
Gillson Capital,Gillson Capital Master ,2023-11-01,-0.0046
Gillson Capital,Gillson Capital Master ,2023-12-01,0.0051
Gillson Capital,Gillson Capital Master ,2024-01-01,-0.002
Gillson Capital,Gillson Capital Master ,2024-02-01,0.0073
Gillson Capital,Gillson Capital Master ,2024-03-01,0.0067
Gillson Capital,Gillson Capital Master ,2024-04-01,0.0227
Gillson Capital,Gillson Capital Master ,2024-05-01,0.0088
