Manager,Fund,Date,Change
HGC Invesatment Management,HGC LP Class F,2019-01-01,0.0152
HGC Invesatment Management,HGC LP Class F,2019-02-01,0.0061
HGC Invesatment Management,HGC LP Class F,2019-03-01,0.009
HGC Invesatment Management,HGC LP Class F,2019-04-01,0.0071
HGC Invesatment Management,HGC LP Class F,2019-05-01,0.0081
HGC Invesatment Management,HGC LP Class F,2019-06-01,0.0056
HGC Invesatment Management,HGC LP Class F,2019-07-01,0.0046
HGC Invesatment Management,HGC LP Class F,2019-08-01,0.0018
HGC Invesatment Management,HGC LP Class F,2019-09-01,0.0035
HGC Invesatment Management,HGC LP Class F,2019-10-01,0.0038
HGC Invesatment Management,HGC LP Class F,2019-11-01,0.0067
HGC Invesatment Management,HGC LP Class F,2019-12-01,0.0152
HGC Invesatment Management,HGC LP Class F,2020-01-01,0.0288
HGC Invesatment Management,HGC LP Class F,2020-02-01,0.0064
HGC Invesatment Management,HGC LP Class F,2020-03-01,-0.0482
HGC Invesatment Management,HGC LP Class F,2020-04-01,0.0231
HGC Invesatment Management,HGC LP Class F,2020-05-01,0.0222
HGC Invesatment Management,HGC LP Class F,2020-06-01,0.0911
HGC Invesatment Management,HGC LP Class F,2020-07-01,0.0118
HGC Invesatment Management,HGC LP Class F,2020-08-01,-0.0001
HGC Invesatment Management,HGC LP Class F,2020-09-01,0.0513
HGC Invesatment Management,HGC LP Class F,2020-10-01,-0.0371
HGC Invesatment Management,HGC LP Class F,2020-11-01,0.0667
HGC Invesatment Management,HGC LP Class F,2020-12-01,0.1235
HGC Invesatment Management,HGC LP Class F,2021-01-01,0.0652
HGC Invesatment Management,HGC LP Class F,2021-02-01,0.055
HGC Invesatment Management,HGC LP Class F,2021-03-01,-0.0433
HGC Invesatment Management,HGC LP Class F,2021-04-01,0.0102
HGC Invesatment Management,HGC LP Class F,2021-05-01,-0.0134
HGC Invesatment Management,HGC LP Class F,2021-06-01,0.0066
HGC Invesatment Management,HGC LP Class F,2021-07-01,-0.0058
HGC Invesatment Management,HGC LP Class F,2021-08-01,-0.0092
HGC Invesatment Management,HGC LP Class F,2021-09-01,0.0112
HGC Invesatment Management,HGC LP Class F,2021-10-01,0.007
HGC Invesatment Management,HGC LP Class F,2021-11-01,0.007
HGC Invesatment Management,HGC LP Class F,2021-12-01,-0.0058
HGC Invesatment Management,HGC LP Class F,2022-01-01,-0.0139
HGC Invesatment Management,HGC LP Class F,2022-02-01,0.0026
HGC Invesatment Management,HGC LP Class F,2022-03-01,0.0046
HGC Invesatment Management,HGC LP Class F,2022-04-01,0.0039
HGC Invesatment Management,HGC LP Class F,2022-05-01,-0.0093
HGC Invesatment Management,HGC LP Class F,2022-06-01,-0.0033
HGC Invesatment Management,HGC LP Class F,2022-07-01,0.0056
HGC Invesatment Management,HGC LP Class F,2022-08-01,-0.0016
HGC Invesatment Management,HGC LP Class F,2022-09-01,0.0027
HGC Invesatment Management,HGC LP Class F,2022-10-01,0.0105
HGC Invesatment Management,HGC LP Class F,2022-11-01,0.0053
HGC Invesatment Management,HGC LP Class F,2022-12-01,0.007
HGC Invesatment Management,HGC LP Class F,2023-01-01,0.0075
HGC Invesatment Management,HGC LP Class F,2023-02-01,0.0043
HGC Invesatment Management,HGC LP Class F,2023-03-01,0.0013
HGC Invesatment Management,HGC LP Class F,2023-04-01,0.0024
HGC Invesatment Management,HGC LP Class F,2023-05-01,0.0031
HGC Invesatment Management,HGC LP Class F,2023-06-01,0.0039
HGC Invesatment Management,HGC LP Class F,2023-07-01,0.0051
HGC Invesatment Management,HGC LP Class F,2023-08-01,0.0048
HGC Invesatment Management,HGC LP Class F,2023-09-01,0.0031
HGC Invesatment Management,HGC LP Class F,2023-10-01,0.0025
HGC Invesatment Management,HGC LP Class F,2023-11-01,0.0027
HGC Invesatment Management,HGC LP Class F,2023-12-01,0.0026
HGC Invesatment Management,HGC LP Class F,2024-01-01,0.0027
HGC Invesatment Management,HGC LP Class F,2024-02-01,0.0076
HGC Invesatment Management,HGC LP Class F,2024-03-01,0.0041
HGC Invesatment Management,HGC LP Class F,2024-04-01,0.0039
HGC Invesatment Management,HGC LP Class F,2024-05-01,0.004
HGC Invesatment Management,HGC LP Class F,2024-06-01,0.0015
