Manager,Fund,Date,Change
High Ground Investment Management,High Ground Investment Management LTD,2019-10-01,0.054
High Ground Investment Management,High Ground Investment Management LTD,2019-11-01,0.033
High Ground Investment Management,High Ground Investment Management LTD,2019-12-01,0.0084
High Ground Investment Management,High Ground Investment Management LTD,2020-01-01,0.032
High Ground Investment Management,High Ground Investment Management LTD,2020-02-01,-0.0281
High Ground Investment Management,High Ground Investment Management LTD,2020-03-01,-0.01128
High Ground Investment Management,High Ground Investment Management LTD,2020-04-01,0.0056
High Ground Investment Management,High Ground Investment Management LTD,2020-05-01,0.0241
High Ground Investment Management,High Ground Investment Management LTD,2020-06-01,0.0116
High Ground Investment Management,High Ground Investment Management LTD,2020-07-01,0.0092
High Ground Investment Management,High Ground Investment Management LTD,2020-08-01,0.0368
High Ground Investment Management,High Ground Investment Management LTD,2020-09-01,-0.0317
High Ground Investment Management,High Ground Investment Management LTD,2020-10-01,-0.0465
High Ground Investment Management,High Ground Investment Management LTD,2020-11-01,0.0907
High Ground Investment Management,High Ground Investment Management LTD,2020-12-01,0.0179
High Ground Investment Management,High Ground Investment Management LTD,2021-01-01,-0.0799
High Ground Investment Management,High Ground Investment Management LTD,2021-02-01,0.0304
High Ground Investment Management,High Ground Investment Management LTD,2021-03-01,0.0467
High Ground Investment Management,High Ground Investment Management LTD,2021-04-01,0.0102
High Ground Investment Management,High Ground Investment Management LTD,2021-05-01,0.0118
High Ground Investment Management,High Ground Investment Management LTD,2021-06-01,-0.0484
High Ground Investment Management,High Ground Investment Management LTD,2021-07-01,0.013
High Ground Investment Management,High Ground Investment Management LTD,2021-08-01,0.0044
High Ground Investment Management,High Ground Investment Management LTD,2021-09-01,-0.0121
High Ground Investment Management,High Ground Investment Management LTD,2021-10-01,0.0301
High Ground Investment Management,High Ground Investment Management LTD,2021-11-01,-0.0346
High Ground Investment Management,High Ground Investment Management LTD,2021-12-01,0.0748
High Ground Investment Management,High Ground Investment Management LTD,2022-01-01,0.0081
High Ground Investment Management,High Ground Investment Management LTD,2022-02-01,0.0214
High Ground Investment Management,High Ground Investment Management LTD,2022-03-01,-0.0332
High Ground Investment Management,High Ground Investment Management LTD,2022-04-01,0.006
High Ground Investment Management,High Ground Investment Management LTD,2022-05-01,0.0375
High Ground Investment Management,High Ground Investment Management LTD,2022-06-01,-0.0376
High Ground Investment Management,High Ground Investment Management LTD,2022-07-01,0.0241
High Ground Investment Management,High Ground Investment Management LTD,2022-08-01,-0.0181
High Ground Investment Management,High Ground Investment Management LTD,2022-09-01,-0.0497
High Ground Investment Management,High Ground Investment Management LTD,2022-10-01,0.0547
High Ground Investment Management,High Ground Investment Management LTD,2022-11-01,0.0209
High Ground Investment Management,High Ground Investment Management LTD,2022-12-01,0.0262
High Ground Investment Management,High Ground Investment Management LTD,2023-01-01,-0.014
High Ground Investment Management,High Ground Investment Management LTD,2023-02-01,0.0245
High Ground Investment Management,High Ground Investment Management LTD,2023-03-01,0.0117
High Ground Investment Management,High Ground Investment Management LTD,2023-04-01,0.0496
High Ground Investment Management,High Ground Investment Management LTD,2023-05-01,-0.0335
High Ground Investment Management,High Ground Investment Management LTD,2023-06-01,0.0008
High Ground Investment Management,High Ground Investment Management LTD,2023-07-01,-0.0059
High Ground Investment Management,High Ground Investment Management LTD,2023-08-01,0.0125
High Ground Investment Management,High Ground Investment Management LTD,2023-09-01,0.035
High Ground Investment Management,High Ground Investment Management LTD,2023-10-01,0.0103
High Ground Investment Management,High Ground Investment Management LTD,2023-11-01,-0.0041
High Ground Investment Management,High Ground Investment Management LTD,2023-12-01,0.0249
High Ground Investment Management,High Ground Investment Management LTD,2024-01-01,0.0048
High Ground Investment Management,High Ground Investment Management LTD,2024-02-01,-0.0052
High Ground Investment Management,High Ground Investment Management LTD,2024-03-01,0.0364
High Ground Investment Management,High Ground Investment Management LTD,2024-04-01,0.0023
High Ground Investment Management,High Ground Investment Management LTD,2024-05-01,0.053
High Ground Investment Management,High Ground Investment Management LTD,2024-06-01,-0.032
,,,
