Manager,Fund,Date,Change
Hook Mill Capital,Hook Mill Core Fund,2023-01-01,0.087
Hook Mill Capital,Hook Mill Core Fund,2023-02-01,-0.0046
Hook Mill Capital,Hook Mill Core Fund,2023-03-01,0.0065
Hook Mill Capital,Hook Mill Core Fund,2023-04-01,0.0081
Hook Mill Capital,Hook Mill Core Fund,2023-05-01,0.0042
Hook Mill Capital,Hook Mill Core Fund,2023-06-01,0.0788
Hook Mill Capital,Hook Mill Core Fund,2023-07-01,0.0334
Hook Mill Capital,Hook Mill Core Fund,2023-08-01,-0.0174
Hook Mill Capital,Hook Mill Core Fund,2023-09-01,-0.0307
Hook Mill Capital,Hook Mill Core Fund,2023-10-01,-0.0367
Hook Mill Capital,Hook Mill Core Fund,2023-11-01,0.1037
Hook Mill Capital,Hook Mill Core Fund,2023-12-01,0.1101
Hook Mill Capital,Hook Mill Core Fund,2024-01-01,-0.016
Hook Mill Capital,Hook Mill Core Fund,2024-02-01,0.0887
Hook Mill Capital,Hook Mill Core Fund,2024-03-01,0.0653
Hook Mill Capital,Hook Mill Core Fund,2024-04-01,-0.077
Hook Mill Capital,Hook Mill Core Fund,2024-05-01,0.0375
Hook Mill Capital,Hook Mill Core Fund,2024-06-01,-0.0231
