Manager,Fund,Date,Change
J E Moody & Company LLC,JEM Commodity Relative Value Program,2019-01-01,-0.0134
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-02-01,0.0022
J E Moody & Company LLC,JEM Commodity Relative Value Program,2019-03-01,0.0094
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-04-01,-0.0021
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-05-01,0.0062
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-06-01,-0.0092
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-07-01,-0.0052
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-08-01,-0.0079
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-09-01,-0.0074
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-10-01,-0.0055
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-11-01,0.0002
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2019-12-01,-0.0007
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-01-01,0.0145
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-02-01,0.0246
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-03-01,0.0818
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-04-01,-0.0022
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-05-01,-0.0171
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-06-01,0.0062
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-07-01,-0.0038
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-08-01,-0.0076
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-09-01,0.0109
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-10-01,0.0049
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-11-01,-0.0055
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2020-12-01,0.0073
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-01-01,-0.0049
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-02-01,0.0117
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-03-01,0.0026
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-04-01,0.0161
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-05-01,-0.0015
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-06-01,0.0031
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-07-01,-0.001
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-08-01,0.0028
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-09-01,-0.0036
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-10-01,0.0014
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-11-01,0.0087
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2021-12-01,-0.0053
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-01-01,-0.0156
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-02-01,0.012
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-03-01,0.0325
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-04-01,0.0082
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-05-01,-0.0246
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-06-01,-0.0126
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-07-01,0.0009
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-08-01,0.0036
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-09-01,0.0052
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-10-01,0.0165
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-11-01,-0.001
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2022-12-01,0.001
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-01-01,0.0006
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-02-01,-0.0049
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-03-01,0.0093
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-04-01,-0.0006
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-05-01,0.0135
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-06-01,-0.0009
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-07-01,0.0051
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-08-01,-0.0062
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-09-01,0.0054
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-10-01,-0.0071
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-11-01,0.0055
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2023-12-01,0.014
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2024-01-01,-0.0026
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2024-02-01,-0.0027
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2024-03-01,-0.0012
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2024-04-01,0.0058
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2024-05-01,0.006
J E Moody & Company LLC,JEM Commodity Relative Value Program ,2024-06-01,-0.0005
