Manager,Fund,Date,Change
J8 Capital,J8 Global Absolute Return Strategy,2015-01-01,0.09
J8 Capital,J8 Global Absolute Return Strategy,2015-02-01,-0.0117
J8 Capital,J8 Global Absolute Return Strategy,2015-03-01,0.0186
J8 Capital,J8 Global Absolute Return Strategy,2015-04-01,-0.0647
J8 Capital,J8 Global Absolute Return Strategy,2015-05-01,-0.0017
J8 Capital,J8 Global Absolute Return Strategy,2015-06-01,-0.0324
J8 Capital,J8 Global Absolute Return Strategy,2015-07-01,0.0186
J8 Capital,J8 Global Absolute Return Strategy,2015-08-01,-0.0494
J8 Capital,J8 Global Absolute Return Strategy,2015-09-01,-0.008
J8 Capital,J8 Global Absolute Return Strategy,2015-10-01,0.0313
J8 Capital,J8 Global Absolute Return Strategy,2015-11-01,0.0867
J8 Capital,J8 Global Absolute Return Strategy,2015-12-01,0.0082
J8 Capital,J8 Global Absolute Return Strategy,2016-01-01,0.0396
J8 Capital,J8 Global Absolute Return Strategy,2016-02-01,0.0347
J8 Capital,J8 Global Absolute Return Strategy,2016-03-01,-0.006
J8 Capital,J8 Global Absolute Return Strategy,2016-04-01,-0.0101
J8 Capital,J8 Global Absolute Return Strategy,2016-05-01,0.002
J8 Capital,J8 Global Absolute Return Strategy,2016-06-01,0.0465
J8 Capital,J8 Global Absolute Return Strategy,2016-07-01,0.0253
J8 Capital,J8 Global Absolute Return Strategy,2016-08-01,-0.0103
J8 Capital,J8 Global Absolute Return Strategy,2016-09-01,0.0136
J8 Capital,J8 Global Absolute Return Strategy,2016-10-01,-0.0252
J8 Capital,J8 Global Absolute Return Strategy,2016-11-01,-0.0035
J8 Capital,J8 Global Absolute Return Strategy,2016-12-01,-0.0345
J8 Capital,J8 Global Absolute Return Strategy,2017-01-01,-0.0047
J8 Capital,J8 Global Absolute Return Strategy,2017-02-01,0.0102
J8 Capital,J8 Global Absolute Return Strategy,2017-03-01,-0.0131
J8 Capital,J8 Global Absolute Return Strategy,2017-04-01,-0.0179
J8 Capital,J8 Global Absolute Return Strategy,2017-05-01,-0.0136
J8 Capital,J8 Global Absolute Return Strategy,2017-06-01,-0.0067
J8 Capital,J8 Global Absolute Return Strategy,2017-07-01,0.024
J8 Capital,J8 Global Absolute Return Strategy,2017-08-01,0.0004
J8 Capital,J8 Global Absolute Return Strategy,2017-09-01,0.0127
J8 Capital,J8 Global Absolute Return Strategy,2017-10-01,0.018
J8 Capital,J8 Global Absolute Return Strategy,2017-11-01,0.0143
J8 Capital,J8 Global Absolute Return Strategy,2017-12-01,0.0367
J8 Capital,J8 Global Absolute Return Strategy,2018-01-01,0.021
J8 Capital,J8 Global Absolute Return Strategy,2018-02-01,-0.0172
J8 Capital,J8 Global Absolute Return Strategy,2018-03-01,0.0065
J8 Capital,J8 Global Absolute Return Strategy,2018-04-01,0.0089
J8 Capital,J8 Global Absolute Return Strategy,2018-05-01,0.041
J8 Capital,J8 Global Absolute Return Strategy,2018-06-01,-0.0162
J8 Capital,J8 Global Absolute Return Strategy,2018-07-01,-0.0181
J8 Capital,J8 Global Absolute Return Strategy,2018-08-01,-0.0058
J8 Capital,J8 Global Absolute Return Strategy,2018-09-01,0.0251
J8 Capital,J8 Global Absolute Return Strategy,2018-10-01,-0.0231
J8 Capital,J8 Global Absolute Return Strategy,2018-11-01,-0.0232
J8 Capital,J8 Global Absolute Return Strategy,2018-12-01,-0.0056
J8 Capital,J8 Global Absolute Return Strategy,2019-01-01,0.0026
J8 Capital,J8 Global Absolute Return Strategy,2019-02-01,0.0285
J8 Capital,J8 Global Absolute Return Strategy,2019-03-01,0.0087
J8 Capital,J8 Global Absolute Return Strategy,2019-04-01,0.0049
J8 Capital,J8 Global Absolute Return Strategy,2019-05-01,-0.0489
J8 Capital,J8 Global Absolute Return Strategy,2019-06-01,0.0157
J8 Capital,J8 Global Absolute Return Strategy,2019-07-01,-0.0029
J8 Capital,J8 Global Absolute Return Strategy,2019-08-01,-0.0058
J8 Capital,J8 Global Absolute Return Strategy,2019-09-01,-0.0384
J8 Capital,J8 Global Absolute Return Strategy,2019-10-01,-0.0251
J8 Capital,J8 Global Absolute Return Strategy,2019-11-01,0.0101
J8 Capital,J8 Global Absolute Return Strategy,2019-12-01,0.0314
J8 Capital,J8 Global Absolute Return Strategy,2020-01-01,-0.0379
J8 Capital,J8 Global Absolute Return Strategy,2020-02-01,0.0006
J8 Capital,J8 Global Absolute Return Strategy,2020-03-01,0.1026
J8 Capital,J8 Global Absolute Return Strategy,2020-04-01,0.0002
J8 Capital,J8 Global Absolute Return Strategy,2020-05-01,0
