Manager,Fund,Date,Change
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-01-01,0.0228
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-02-01,-0.001
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-03-01,0.04
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-04-01,0.0439
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-05-01,-0.02
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-06-01,-0.0504
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-07-01,0.0158
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-08-01,-0.0361
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-09-01,-0.0059
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-10-01,0.0178
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-11-01,0.0846
Metori Capital Management,Amundi Metori Epsilon Global Trends,2013-12-01,0.0266
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-01-01,0.0201
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-02-01,-0.0213
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-03-01,-0.0296
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-04-01,0.0199
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-05-01,0.0016
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-06-01,0.0259
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-07-01,0.0166
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-08-01,0.0482
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-09-01,-0.0098
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-10-01,0.0151
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-11-01,0.0498
Metori Capital Management,Amundi Metori Epsilon Global Trends,2014-12-01,0.0293
Metori Capital Management,Amundi Metori Epsilon Global Trends,2015-01-01,0.0741
Metori Capital Management,Amundi Metori Epsilon Global Trends,2015-02-01,0.0083
Metori Capital Management,Amundi Metori Epsilon Global Trends,2015-03-01,0.0175
Metori Capital Management,Amundi Metori Epsilon Global Trends,2015-04-01,-0.0309
