Manager,Fund,Date,Change
New Silk Road Investment,Asia Landmark Fund Class B,2021-08-01,0.0044
New Silk Road Investment,Asia Landmark Fund Class B,2021-09-01,-0.0575
New Silk Road Investment,Asia Landmark Fund Class B,2021-10-01,0.0312
New Silk Road Investment,Asia Landmark Fund Class B,2021-11-01,-0.0405
New Silk Road Investment,Asia Landmark Fund Class B,2021-12-01,-0.0146
New Silk Road Investment,Asia Landmark Fund Class B,2022-01-01,-0.0833
New Silk Road Investment,Asia Landmark Fund Class B,2022-02-01,-0.0359
New Silk Road Investment,Asia Landmark Fund Class B,2022-03-01,-0.0494
New Silk Road Investment,Asia Landmark Fund Class B,2022-04-01,-0.0846
New Silk Road Investment,Asia Landmark Fund Class B,2022-05-01,0.0094
New Silk Road Investment,Asia Landmark Fund Class B,2022-06-01,-0.0382
New Silk Road Investment,Asia Landmark Fund Class B,2022-07-01,-0.0114
New Silk Road Investment,Asia Landmark Fund Class B,2022-08-01,-0.0072
New Silk Road Investment,Asia Landmark Fund Class B,2022-09-01,-0.01305
New Silk Road Investment,Asia Landmark Fund Class B,2022-10-01,-0.0651
New Silk Road Investment,Asia Landmark Fund Class B,2022-11-01,0.01967
New Silk Road Investment,Asia Landmark Fund Class B,2022-12-01,0.0076
New Silk Road Investment,Asia Landmark Fund Class B,2023-01-01,0.01036
New Silk Road Investment,Asia Landmark Fund Class B,2023-02-01,-0.0626
New Silk Road Investment,Asia Landmark Fund Class B,2023-03-01,0.0265
New Silk Road Investment,Asia Landmark Fund Class B,2023-04-01,-0.0332
New Silk Road Investment,Asia Landmark Fund Class B,2023-05-01,-0.0297
New Silk Road Investment,Asia Landmark Fund Class B,2023-06-01,0.0324
New Silk Road Investment,Asia Landmark Fund Class B,2023-07-01,0.0355
New Silk Road Investment,Asia Landmark Fund Class B,2023-08-01,-0.0595
New Silk Road Investment,Asia Landmark Fund Class B,2023-09-01,-0.031
New Silk Road Investment,Asia Landmark Fund Class B,2023-10-01,-0.0344
New Silk Road Investment,Asia Landmark Fund Class B,2023-11-01,0.0569
New Silk Road Investment,Asia Landmark Fund Class B,2023-12-01,0.0182
New Silk Road Investment,Asia Landmark Fund Class B,2024-01-01,-0.0728
New Silk Road Investment,Asia Landmark Fund Class B,2024-02-01,0.059
New Silk Road Investment,Asia Landmark Fund Class B,2024-03-01,0.0231
New Silk Road Investment,Asia Landmark Fund Class B,2024-04-01,-0.0034
New Silk Road Investment,Asia Landmark Fund Class B,2024-05-01,0.0167
New Silk Road Investment,Asia Landmark Fund Class B,2024-06-01,0.0783
,,,
