Manager,Fund,Date,Change
Nipun Capital,Nipun Asia Total Return Strategy,2015-01-01,0.0219
Nipun Capital,Nipun Asia Total Return Strategy,2015-02-01,0.0281
Nipun Capital,Nipun Asia Total Return Strategy,2015-03-01,0.0222
Nipun Capital,Nipun Asia Total Return Strategy,2015-04-01,0.0367
Nipun Capital,Nipun Asia Total Return Strategy,2015-05-01,-0.0109
Nipun Capital,Nipun Asia Total Return Strategy,2015-06-01,0.0120
Nipun Capital,Nipun Asia Total Return Strategy,2015-07-01,0.0039
Nipun Capital,Nipun Asia Total Return Strategy,2015-08-01,-0.0244
Nipun Capital,Nipun Asia Total Return Strategy,2015-09-01,-0.0077
Nipun Capital,Nipun Asia Total Return Strategy,2015-10-01,-0.0236
Nipun Capital,Nipun Asia Total Return Strategy,2015-11-01,-0.0055
Nipun Capital,Nipun Asia Total Return Strategy,2015-12-01,-0.0259
Nipun Capital,Nipun Asia Total Return Strategy,2016-01-01,-0.0058
Nipun Capital,Nipun Asia Total Return Strategy,2016-02-01,-0.0222
Nipun Capital,Nipun Asia Total Return Strategy,2016-03-01,-0.0119
Nipun Capital,Nipun Asia Total Return Strategy,2016-04-01,-0.0165
Nipun Capital,Nipun Asia Total Return Strategy,2016-05-01,-0.0107
Nipun Capital,Nipun Asia Total Return Strategy,2016-06-01,0.0052
Nipun Capital,Nipun Asia Total Return Strategy,2016-07-01,0.0076
Nipun Capital,Nipun Asia Total Return Strategy,2016-08-01,-0.0047
Nipun Capital,Nipun Asia Total Return Strategy,2016-09-01,-0.0182
Nipun Capital,Nipun Asia Total Return Strategy,2016-10-01,0.0222
Nipun Capital,Nipun Asia Total Return Strategy,2016-11-01,0.0032
Nipun Capital,Nipun Asia Total Return Strategy,2016-12-01,-0.0237
Nipun Capital,Nipun Asia Total Return Strategy,2017-01-01,-0.0291
Nipun Capital,Nipun Asia Total Return Strategy,2017-02-01,0.0009
Nipun Capital,Nipun Asia Total Return Strategy,2017-03-01,0.0091
Nipun Capital,Nipun Asia Total Return Strategy,2017-04-01,0.0182
Nipun Capital,Nipun Asia Total Return Strategy,2017-05-01,-0.0216
Nipun Capital,Nipun Asia Total Return Strategy,2017-06-01,-0.0326
Nipun Capital,Nipun Asia Total Return Strategy,2017-07-01,0.0062
Nipun Capital,Nipun Asia Total Return Strategy,2017-08-01,0.0062
Nipun Capital,Nipun Asia Total Return Strategy,2017-09-01,-0.0430
Nipun Capital,Nipun Asia Total Return Strategy,2017-10-01,-0.0196
Nipun Capital,Nipun Asia Total Return Strategy,2017-11-01,-0.0095
Nipun Capital,Nipun Asia Total Return Strategy,2017-12-01,0.0235
Nipun Capital,Nipun Asia Total Return Strategy,2018-01-01,0.0373
Nipun Capital,Nipun Asia Total Return Strategy,2018-02-01,0.0182
Nipun Capital,Nipun Asia Total Return Strategy,2018-03-01,0.0055
Nipun Capital,Nipun Asia Total Return Strategy,2018-04-01,0.0461
Nipun Capital,Nipun Asia Total Return Strategy,2018-05-01,0.0101
Nipun Capital,Nipun Asia Total Return Strategy,2018-06-01,-0.0066
Nipun Capital,Nipun Asia Total Return Strategy,2018-07-01,0.0100
Nipun Capital,Nipun Asia Total Return Strategy,2018-08-01,-0.0087
Nipun Capital,Nipun Asia Total Return Strategy,2018-09-01,-0.0106
Nipun Capital,Nipun Asia Total Return Strategy,2018-10-01,-0.0187
Nipun Capital,Nipun Asia Total Return Strategy,2018-11-01,-0.0121
Nipun Capital,Nipun Asia Total Return Strategy,2018-12-01,0.0022
Nipun Capital,Nipun Asia Total Return Strategy,2019-01-01,0.0269
Nipun Capital,Nipun Asia Total Return Strategy,2019-02-01,-0.0185
Nipun Capital,Nipun Asia Total Return Strategy,2019-03-01,0.0161
Nipun Capital,Nipun Asia Total Return Strategy,2019-04-01,0.0227
Nipun Capital,Nipun Asia Total Return Strategy,2019-05-01,0.0014
Nipun Capital,Nipun Asia Total Return Strategy,2019-06-01,0.0133
Nipun Capital,Nipun Asia Total Return Strategy,2019-07-01,0.0075
Nipun Capital,Nipun Asia Total Return Strategy,2019-08-01,0.0111
Nipun Capital,Nipun Asia Total Return Strategy,2019-09-01,-0.0247
Nipun Capital,Nipun Asia Total Return Strategy,2019-10-01,0.0033
Nipun Capital,Nipun Asia Total Return Strategy,2019-11-01,0.0147
Nipun Capital,Nipun Asia Total Return Strategy,2019-12-01,-0.0018
Nipun Capital,Nipun Asia Total Return Strategy,2020-01-01,-0.0184
Nipun Capital,Nipun Asia Total Return Strategy,2020-02-01,-0.0399
Nipun Capital,Nipun Asia Total Return Strategy,2020-03-01,-0.0161
Nipun Capital,Nipun Asia Total Return Strategy,2020-04-01,0.0044
Nipun Capital,Nipun Asia Total Return Strategy,2020-05-01,-0.0046
Nipun Capital,Nipun Asia Total Return Strategy,2020-06-01,-0.0083
Nipun Capital,Nipun Asia Total Return Strategy,2020-07-01,0.0656
Nipun Capital,Nipun Asia Total Return Strategy,2020-08-01,0.0285
Nipun Capital,Nipun Asia Total Return Strategy,2020-09-01,0.0212
Nipun Capital,Nipun Asia Total Return Strategy,2020-10-01,0.0160
Nipun Capital,Nipun Asia Total Return Strategy,2020-11-01,0.0010
Nipun Capital,Nipun Asia Total Return Strategy,2020-12-01,0.0084
Nipun Capital,Nipun Asia Total Return Strategy,2021-01-01,0.0270
Nipun Capital,Nipun Asia Total Return Strategy,2021-02-01,0.0310
Nipun Capital,Nipun Asia Total Return Strategy,2021-03-01,0.0229
Nipun Capital,Nipun Asia Total Return Strategy,2021-04-01,0.0217
Nipun Capital,Nipun Asia Total Return Strategy,2021-05-01,-0.0094
Nipun Capital,Nipun Asia Total Return Strategy,2021-06-01,0.0013
Nipun Capital,Nipun Asia Total Return Strategy,2021-07-01,-0.0270
Nipun Capital,Nipun Asia Total Return Strategy,2021-08-01,-0.0200
Nipun Capital,Nipun Asia Total Return Strategy,2021-09-01,0.0025
Nipun Capital,Nipun Asia Total Return Strategy,2021-10-01,-0.0190
Nipun Capital,Nipun Asia Total Return Strategy,2021-11-01,-0.0167
Nipun Capital,Nipun Asia Total Return Strategy,2021-12-01,0.0046
