Manager,Fund,Date,Change
Oasis Capital,Oasis Japan Strategic Fund,2019-01-01,0.0794
Oasis Capital,Oasis Japan Strategic Fund,2019-02-01,0.0279
Oasis Capital,Oasis Japan Strategic Fund,2019-03-01,-0.0068
Oasis Capital,Oasis Japan Strategic Fund,2019-04-01,0.0421
Oasis Capital,Oasis Japan Strategic Fund,2019-05-01,-0.0316
Oasis Capital,Oasis Japan Strategic Fund,2019-06-01,0.0371
Oasis Capital,Oasis Japan Strategic Fund,2019-07-01,0.0044
Oasis Capital,Oasis Japan Strategic Fund,2019-08-01,-0.0115
Oasis Capital,Oasis Japan Strategic Fund,2019-09-01,0.0488
Oasis Capital,Oasis Japan Strategic Fund,2019-10-01,0.0496
Oasis Capital,Oasis Japan Strategic Fund,2019-11-01,0.0467
Oasis Capital,Oasis Japan Strategic Fund,2019-12-01,0.0398
Oasis Capital,Oasis Japan Strategic Fund,2020-01-01,0.016
Oasis Capital,Oasis Japan Strategic Fund,2020-02-01,-0.01143
Oasis Capital,Oasis Japan Strategic Fund,2020-03-01,-0.0564
Oasis Capital,Oasis Japan Strategic Fund,2020-04-01,0.0633
Oasis Capital,Oasis Japan Strategic Fund,2020-05-01,0.0794
Oasis Capital,Oasis Japan Strategic Fund,2020-06-01,-0.0207
Oasis Capital,Oasis Japan Strategic Fund,2020-07-01,-0.0329
Oasis Capital,Oasis Japan Strategic Fund,2020-08-01,0.0959
Oasis Capital,Oasis Japan Strategic Fund,2020-09-01,0.0166
Oasis Capital,Oasis Japan Strategic Fund,2020-10-01,-0.0212
Oasis Capital,Oasis Japan Strategic Fund,2020-11-01,0.01052
Oasis Capital,Oasis Japan Strategic Fund,2020-12-01,0.0424
Oasis Capital,Oasis Japan Strategic Fund,2021-01-01,0.0167
Oasis Capital,Oasis Japan Strategic Fund,2021-02-01,0.0503
Oasis Capital,Oasis Japan Strategic Fund,2021-03-01,0.0441
Oasis Capital,Oasis Japan Strategic Fund,2021-04-01,-0.0144
Oasis Capital,Oasis Japan Strategic Fund,2021-05-01,0.0078
Oasis Capital,Oasis Japan Strategic Fund,2021-06-01,0.0331
Oasis Capital,Oasis Japan Strategic Fund,2021-07-01,-0.03
Oasis Capital,Oasis Japan Strategic Fund,2021-08-01,0.0315
Oasis Capital,Oasis Japan Strategic Fund,2021-09-01,0.0625
Oasis Capital,Oasis Japan Strategic Fund,2021-10-01,-0.0187
Oasis Capital,Oasis Japan Strategic Fund,2021-11-01,-0.027
Oasis Capital,Oasis Japan Strategic Fund,2021-12-01,0.0349
Oasis Capital,Oasis Japan Strategic Fund,2022-01-01,-0.0868
Oasis Capital,Oasis Japan Strategic Fund,2022-02-01,0.0434
Oasis Capital,Oasis Japan Strategic Fund,2022-03-01,0.041
Oasis Capital,Oasis Japan Strategic Fund,2022-04-01,0.0169
Oasis Capital,Oasis Japan Strategic Fund,2022-05-01,-0.0173
Oasis Capital,Oasis Japan Strategic Fund,2022-06-01,0.0066
Oasis Capital,Oasis Japan Strategic Fund,2022-07-01,0.0353
Oasis Capital,Oasis Japan Strategic Fund,2022-08-01,0.0103
Oasis Capital,Oasis Japan Strategic Fund,2022-09-01,-0.047
Oasis Capital,Oasis Japan Strategic Fund,2022-10-01,0.045
Oasis Capital,Oasis Japan Strategic Fund,2022-11-01,0.0115
Oasis Capital,Oasis Japan Strategic Fund,2022-12-01,-0.0232
Oasis Capital,Oasis Japan Strategic Fund,2023-01-01,0.0508
Oasis Capital,Oasis Japan Strategic Fund,2023-02-01,0.022
Oasis Capital,Oasis Japan Strategic Fund,2023-03-01,0.0195
Oasis Capital,Oasis Japan Strategic Fund,2023-04-01,0.0375
Oasis Capital,Oasis Japan Strategic Fund,2023-05-01,0.0279
Oasis Capital,Oasis Japan Strategic Fund,2023-06-01,0.0671
Oasis Capital,Oasis Japan Strategic Fund,2023-07-01,0.0239
Oasis Capital,Oasis Japan Strategic Fund,2023-08-01,0.0091
Oasis Capital,Oasis Japan Strategic Fund,2023-09-01,-0.0085
Oasis Capital,Oasis Japan Strategic Fund,2023-10-01,-0.0144
Oasis Capital,Oasis Japan Strategic Fund,2023-11-01,0.065
Oasis Capital,Oasis Japan Strategic Fund,2023-12-01,0.0234
Oasis Capital,Oasis Japan Strategic Fund,2024-01-01,0.0772
Oasis Capital,Oasis Japan Strategic Fund,2024-02-01,0.0324
Oasis Capital,Oasis Japan Strategic Fund,2024-03-01,0.0595
Oasis Capital,Oasis Japan Strategic Fund,2024-04-01,-0.003
Oasis Capital,Oasis Japan Strategic Fund,2024-05-01,0.0202
Oasis Capital,Oasis Japan Strategic Fund,2024-06-01,0.0155
,,,
