Manager,Fund,Date,Change
One William Street Capital,OWS Credit Opportunity Fund,2019-01-01,0.0089
One William Street Capital,OWS Credit Opportunity Fund,2019-02-01,0.0064
One William Street Capital,OWS Credit Opportunity Fund,2019-03-01,0.0071
One William Street Capital,OWS Credit Opportunity Fund,2019-04-01,0.0128
One William Street Capital,OWS Credit Opportunity Fund,2019-05-01,0.0004
One William Street Capital,OWS Credit Opportunity Fund,2019-06-01,0.0047
One William Street Capital,OWS Credit Opportunity Fund,2019-07-01,0.0091
One William Street Capital,OWS Credit Opportunity Fund,2019-08-01,-0.0047
One William Street Capital,OWS Credit Opportunity Fund,2019-09-01,0.0095
One William Street Capital,OWS Credit Opportunity Fund,2019-10-01,-0.0001
One William Street Capital,OWS Credit Opportunity Fund,2019-11-01,0.0065
One William Street Capital,OWS Credit Opportunity Fund,2019-12-01,0.0083
One William Street Capital,OWS Credit Opportunity Fund,2020-01-01,0.006
One William Street Capital,OWS Credit Opportunity Fund,2020-02-01,0.0024
One William Street Capital,OWS Credit Opportunity Fund,2020-03-01,-0.1613
One William Street Capital,OWS Credit Opportunity Fund,2020-04-01,0.0065
One William Street Capital,OWS Credit Opportunity Fund,2020-05-01,0.0281
One William Street Capital,OWS Credit Opportunity Fund,2020-06-01,0.0452
One William Street Capital,OWS Credit Opportunity Fund,2020-07-01,0.0173
One William Street Capital,OWS Credit Opportunity Fund,2020-08-01,0.0167
One William Street Capital,OWS Credit Opportunity Fund,2020-09-01,0.0127
One William Street Capital,OWS Credit Opportunity Fund,2020-10-01,0.0146
One William Street Capital,OWS Credit Opportunity Fund,2020-11-01,0.0259
One William Street Capital,OWS Credit Opportunity Fund,2020-12-01,0.0136
One William Street Capital,OWS Credit Opportunity Fund,2021-01-01,0.0185
One William Street Capital,OWS Credit Opportunity Fund,2021-02-01,0.0106
One William Street Capital,OWS Credit Opportunity Fund,2021-03-01,0.0152
One William Street Capital,OWS Credit Opportunity Fund,2021-04-01,0.0118
One William Street Capital,OWS Credit Opportunity Fund,2021-05-01,0.0123
One William Street Capital,OWS Credit Opportunity Fund,2021-06-01,0.0095
One William Street Capital,OWS Credit Opportunity Fund,2021-07-01,0.0108
One William Street Capital,OWS Credit Opportunity Fund,2021-08-01,0.0057
One William Street Capital,OWS Credit Opportunity Fund,2021-09-01,0.0095
One William Street Capital,OWS Credit Opportunity Fund,2021-10-01,0.006
One William Street Capital,OWS Credit Opportunity Fund,2021-11-01,0.0059
One William Street Capital,OWS Credit Opportunity Fund,2021-12-01,0.0042
One William Street Capital,OWS Credit Opportunity Fund,2022-01-01,0.0047
One William Street Capital,OWS Credit Opportunity Fund,2022-02-01,0
One William Street Capital,OWS Credit Opportunity Fund,2022-03-01,0.0026
One William Street Capital,OWS Credit Opportunity Fund,2022-04-01,0.0012
One William Street Capital,OWS Credit Opportunity Fund,2022-05-01,-0.0017
One William Street Capital,OWS Credit Opportunity Fund,2022-06-01,-0.0095
One William Street Capital,OWS Credit Opportunity Fund,2022-07-01,0.0144
One William Street Capital,OWS Credit Opportunity Fund,2022-08-01,0.0016
One William Street Capital,OWS Credit Opportunity Fund,2022-09-01,-0.0015
One William Street Capital,OWS Credit Opportunity Fund,2022-10-01,0.006
One William Street Capital,OWS Credit Opportunity Fund,2022-11-01,0.0057
One William Street Capital,OWS Credit Opportunity Fund,2022-12-01,0.0059
One William Street Capital,OWS Credit Opportunity Fund,2023-01-01,0.0068
One William Street Capital,OWS Credit Opportunity Fund,2023-02-01,0.0061
One William Street Capital,OWS Credit Opportunity Fund,2023-03-01,0.0067
One William Street Capital,OWS Credit Opportunity Fund,2023-04-01,0.0064
One William Street Capital,OWS Credit Opportunity Fund,2023-05-01,0.0066
One William Street Capital,OWS Credit Opportunity Fund,2023-06-01,0.0064
One William Street Capital,OWS Credit Opportunity Fund,2023-07-01,0.0113
One William Street Capital,OWS Credit Opportunity Fund,2023-08-01,0.0087
One William Street Capital,OWS Credit Opportunity Fund,2023-09-01,0.008
One William Street Capital,OWS Credit Opportunity Fund,2023-10-01,0.004
One William Street Capital,OWS Credit Opportunity Fund,2023-11-01,0.0113
One William Street Capital,OWS Credit Opportunity Fund,2023-12-01,0.0082
One William Street Capital,OWS Credit Opportunity Fund,2024-01-01,0.0122
One William Street Capital,OWS Credit Opportunity Fund,2024-02-01,0.0094
One William Street Capital,OWS Credit Opportunity Fund,2024-03-01,0.0088
One William Street Capital,OWS Credit Opportunity Fund,2024-04-01,0.0095
,,,
,,,
,,,
