Manager,Fund,Date,Change
P-Hat,P-Hat Fund,2019-01-01,-0.0352
P-Hat,P-Hat Fund,2019-02-01,0.0263
P-Hat,P-Hat Fund,2019-03-01,0.0344
P-Hat,P-Hat Fund,2019-04-01,0.1517
P-Hat,P-Hat Fund,2019-05-01,0.0237
P-Hat,P-Hat Fund,2019-06-01,0.1368
P-Hat,P-Hat Fund,2019-07-01,0.0187
P-Hat,P-Hat Fund,2019-08-01,-0.0606
P-Hat,P-Hat Fund,2019-09-01,0.0632
P-Hat,P-Hat Fund,2019-10-01,0.1005
P-Hat,P-Hat Fund,2019-11-01,-0.0907
P-Hat,P-Hat Fund,2019-12-01,-0.067
P-Hat,P-Hat Fund,2020-01-01,0.1087
P-Hat,P-Hat Fund,2020-02-01,0.1301
P-Hat,P-Hat Fund,2020-03-01,-0.0159
P-Hat,P-Hat Fund,2020-04-01,0.2889
P-Hat,P-Hat Fund,2020-05-01,0.0729
P-Hat,P-Hat Fund,2020-06-01,-0.0173
P-Hat,P-Hat Fund,2020-07-01,0.1272
P-Hat,P-Hat Fund,2020-08-01,0.1487
P-Hat,P-Hat Fund,2020-09-01,-0.0722
P-Hat,P-Hat Fund,2020-10-01,0.0883
P-Hat,P-Hat Fund,2020-11-01,0.1847
P-Hat,P-Hat Fund,2020-12-01,0.1772
P-Hat,P-Hat Fund,2021-01-01,0.0404
P-Hat,P-Hat Fund,2021-02-01,0.02737
P-Hat,P-Hat Fund,2021-03-01,0.0601
P-Hat,P-Hat Fund,2021-04-01,0.0171
P-Hat,P-Hat Fund,2021-05-01,0.041
P-Hat,P-Hat Fund,2021-06-01,-0.1108
P-Hat,P-Hat Fund,2021-07-01,0.0766
P-Hat,P-Hat Fund,2021-08-01,0.1881
P-Hat,P-Hat Fund,2021-09-01,-0.0688
P-Hat,P-Hat Fund,2021-10-01,0.2725
P-Hat,P-Hat Fund,2021-11-01,-0.0529
P-Hat,P-Hat Fund,2021-12-01,-0.1487
P-Hat,P-Hat Fund,2022-01-01,-0.0252
P-Hat,P-Hat Fund,2022-02-01,-0.0109
P-Hat,P-Hat Fund,2022-03-01,0.0559
P-Hat,P-Hat Fund,2022-04-01,-0.1397
P-Hat,P-Hat Fund,2022-05-01,-0.0551
P-Hat,P-Hat Fund,2022-06-01,-0.0199
P-Hat,P-Hat Fund,2022-07-01,0.0118
P-Hat,P-Hat Fund,2022-08-01,0.0253
P-Hat,P-Hat Fund,2022-09-01,0.0479
P-Hat,P-Hat Fund,2022-10-01,0.0661
P-Hat,P-Hat Fund,2022-11-01,-0.1203
P-Hat,P-Hat Fund,2022-12-01,-0.0346
P-Hat,P-Hat Fund,2023-01-01,0.0044
P-Hat,P-Hat Fund,2023-02-01,0.0425
P-Hat,P-Hat Fund,2023-03-01,0.0178
P-Hat,P-Hat Fund,2023-04-01,0.0399
P-Hat,P-Hat Fund,2023-05-01,0.0046
P-Hat,P-Hat Fund,2023-06-01,0.1688
P-Hat,P-Hat Fund,2023-07-01,-0.068
P-Hat,P-Hat Fund,2023-08-01,-0.0843
P-Hat,P-Hat Fund,2023-09-01,-0.0588
P-Hat,P-Hat Fund,2023-10-01,-0.0827
P-Hat,P-Hat Fund,2023-11-01,-0.0275
P-Hat,P-Hat Fund,2023-12-01,0.0948
P-Hat,P-Hat Fund,2024-01-01,0.1484
P-Hat,P-Hat Fund,2024-02-01,0.1517
P-Hat,P-Hat Fund,2024-03-01,0.1115
P-Hat,P-Hat Fund,2024-04-01,-0.0246
P-Hat,P-Hat Fund,2024-05-01,-0.0572
,,,
,,,
