Manager,Fund,Date,Change
Paloma Partners Management Company,Paloma International Limited Class A,2020-01-01,-0.0024
Paloma Partners Management Company,Paloma International Limited Class A,2020-02-01,-0.0057
Paloma Partners Management Company,Paloma International Limited Class A,2020-03-01,-0.0587
Paloma Partners Management Company,Paloma International Limited Class A,2020-04-01,0.0122
Paloma Partners Management Company,Paloma International Limited Class A,2020-05-01,0.0145
Paloma Partners Management Company,Paloma International Limited Class A,2020-06-01,0.0234
Paloma Partners Management Company,Paloma International Limited Class A,2020-07-01,0.0096
Paloma Partners Management Company,Paloma International Limited Class A,2020-08-01,0.0168
Paloma Partners Management Company,Paloma International Limited Class A,2020-09-01,-0.0052
Paloma Partners Management Company,Paloma International Limited Class A,2020-10-01,0.0005
Paloma Partners Management Company,Paloma International Limited Class A,2020-11-01,0.0137
Paloma Partners Management Company,Paloma International Limited Class A,2020-12-01,0.0009
Paloma Partners Management Company,Paloma International Limited Class A,2021-01-01,0.0124
Paloma Partners Management Company,Paloma International Limited Class A,2021-02-01,0.0175
Paloma Partners Management Company,Paloma International Limited Class A,2021-03-01,0.0077
Paloma Partners Management Company,Paloma International Limited Class A,2021-04-01,0.0149
Paloma Partners Management Company,Paloma International Limited Class A,2021-05-01,0.0025
Paloma Partners Management Company,Paloma International Limited Class A,2021-06-01,0.0008
Paloma Partners Management Company,Paloma International Limited Class A,2021-07-01,0.0062
Paloma Partners Management Company,Paloma International Limited Class A,2021-08-01,0.0053
Paloma Partners Management Company,Paloma International Limited Class A,2021-09-01,0.0097
Paloma Partners Management Company,Paloma International Limited Class A,2021-10-01,0.015
Paloma Partners Management Company,Paloma International Limited Class A,2021-11-01,0.0076
Paloma Partners Management Company,Paloma International Limited Class A,2021-12-01,-0.0037
Paloma Partners Management Company,Paloma International Limited Class A,2022-01-01,-0.004
Paloma Partners Management Company,Paloma International Limited Class A,2022-02-01,-0.0091
Paloma Partners Management Company,Paloma International Limited Class A,2022-03-01,0.0058
Paloma Partners Management Company,Paloma International Limited Class APaloma Intern,2022-04-01,0.0081
Paloma Partners Management Company,Paloma International Limited Class A,2022-05-01,-0.0098
Paloma Partners Management Company,Paloma International Limited Class A,2022-06-01,-0.004
Paloma Partners Management Company,Paloma International Limited Class A,2022-07-01,-0.002
Paloma Partners Management Company,Paloma International Limited Class A,2022-08-01,0.0315
Paloma Partners Management Company,Paloma International Limited Class A,2022-09-01,-0.0074
Paloma Partners Management Company,Paloma International Limited Class A,2022-10-01,-0.0035
Paloma Partners Management Company,Paloma International Limited Class A,2022-11-01,0.0006
Paloma Partners Management Company,Paloma International Limited Class A,2022-12-01,-0.0017
Paloma Partners Management Company,Paloma International Limited Class A,2023-01-01,0.0171
Paloma Partners Management Company,Paloma International Limited Class A,2023-02-01,0.0111
Paloma Partners Management Company,Paloma International Limited Class A,2023-03-01,-0.0175
Paloma Partners Management Company,Paloma International Limited Class A,2023-04-01,0.0127
Paloma Partners Management Company,Paloma International Limited Class A,2023-05-01,-0.0062
Paloma Partners Management Company,Paloma International Limited Class A,2023-06-01,0.0107
Paloma Partners Management Company,Paloma International Limited Class A,2023-07-01,0.0113
Paloma Partners Management Company,Paloma International Limited Class A,2023-08-01,0.0069
Paloma Partners Management Company,Paloma International Limited Class A,2023-09-01,0.007
Paloma Partners Management Company,Paloma International Limited Class A,2023-10-01,0.0012
Paloma Partners Management Company,Paloma International Limited Class A,2023-11-01,0.0061
Paloma Partners Management Company,Paloma International Limited Class A,2023-12-01,0.0072
Paloma Partners Management Company,Paloma International Limited Class A,2024-01-01,0.003
Paloma Partners Management Company,Paloma International Limited Class A,2024-02-01,-0.0043
Paloma Partners Management Company,Paloma International Limited Class A,2024-03-01,0.0094
Paloma Partners Management Company,Paloma International Limited Class A,2024-04-01,-0.001
Paloma Partners Management Company,Paloma International Limited Class A,2024-05-01,0.0099
Paloma Partners Management Company,Paloma International Limited Class A,2024-06-01,-0.0006
,,,
,,,
,,,
,,,
,,,
,,,
