Manager,Fund,Date,Change
PinnBrook Capital Management,PinnBrook Master Fund,2021-04-01,-0.003
PinnBrook Capital Management,PinnBrook Master Fund,2021-05-01,-0.01
PinnBrook Capital Management,PinnBrook Master Fund,2021-06-01,-0.008
PinnBrook Capital Management,PinnBrook Master Fund,2021-07-01,0.009
PinnBrook Capital Management,PinnBrook Master Fund,2021-08-01,0.019
PinnBrook Capital Management,PinnBrook Master Fund,2021-09-01,-0.001
PinnBrook Capital Management,PinnBrook Master Fund,2021-10-01,0.019
PinnBrook Capital Management,PinnBrook Master Fund,2021-11-01,-0.005
PinnBrook Capital Management,PinnBrook Master Fund,2021-12-01,-0.005
PinnBrook Capital Management,PinnBrook Master Fund,2022-01-01,0.01
PinnBrook Capital Management,PinnBrook Master Fund,2022-02-01,0.023
PinnBrook Capital Management,PinnBrook Master Fund,2022-03-01,0.02
PinnBrook Capital Management,PinnBrook Master Fund,2022-04-01,0.03
PinnBrook Capital Management,PinnBrook Master Fund,2022-05-01,0.002
PinnBrook Capital Management,PinnBrook Master Fund,2022-06-01,0.027
PinnBrook Capital Management,PinnBrook Master Fund,2022-07-01,-0.029
PinnBrook Capital Management,PinnBrook Master Fund,2022-08-01,0.008
PinnBrook Capital Management,PinnBrook Master Fund,2022-09-01,0.032
PinnBrook Capital Management,PinnBrook Master Fund,2022-10-01,-0.006
PinnBrook Capital Management,PinnBrook Master Fund,2022-11-01,-0.015
PinnBrook Capital Management,PinnBrook Master Fund,2022-12-01,0.019
PinnBrook Capital Management,PinnBrook Master Fund,2023-01-01,-0.015
PinnBrook Capital Management,PinnBrook Master Fund,2023-02-01,-0.004
PinnBrook Capital Management,PinnBrook Master Fund,2023-03-01,-0.056
PinnBrook Capital Management,PinnBrook Master Fund,2023-04-01,-0.002
PinnBrook Capital Management,PinnBrook Master Fund,2023-05-01,-0.001
PinnBrook Capital Management,PinnBrook Master Fund,2023-06-01,-0.002
PinnBrook Capital Management,PinnBrook Master Fund,2023-07-01,0.023
PinnBrook Capital Management,PinnBrook Master Fund,2023-08-01,-0.003
PinnBrook Capital Management,PinnBrook Master Fund,2023-09-01,0.019
PinnBrook Capital Management,PinnBrook Master Fund,2023-10-01,0.021
PinnBrook Capital Management,PinnBrook Master Fund,2023-11-01,-0.031
PinnBrook Capital Management,PinnBrook Master Fund,2023-12-01,0.032
PinnBrook Capital Management,PinnBrook Master Fund,2024-01-01,0.014
PinnBrook Capital Management,PinnBrook Master Fund,2024-02-01,0.033
PinnBrook Capital Management,PinnBrook Master Fund,2024-03-01,0.041
PinnBrook Capital Management,PinnBrook Master Fund,2024-04-01,-0.021
PinnBrook Capital Management,PinnBrook Master Fund,2024-05-01,0.023
