Manager,Fund,Date,Change
QIM,Quantitative Global Program,2020-01-01,0.0882
QIM,Quantitative Global Program,2020-02-01,-0.0117
QIM,Quantitative Global Program,2020-03-01,-0.086
QIM,Quantitative Global Program,2020-04-01,-0.0157
QIM,Quantitative Global Program,2020-05-01,0.0094
QIM,Quantitative Global Program,2020-06-01,-0.0406
QIM,Quantitative Global Program,2020-07-01,-0.0224
QIM,Quantitative Global Program,2020-08-01,-0.0133
QIM,Quantitative Global Program,2020-09-01,0.0158
QIM,Quantitative Global Program,2020-10-01,-0.0074
QIM,Quantitative Global Program,2020-11-01,0.0615
QIM,Quantitative Global Program,2020-12-01,-0.0129
QIM,Quantitative Global Program,2021-01-01,-0.0192
QIM,Quantitative Global Program,2021-02-01,0.0061
QIM,Quantitative Global Program,2021-03-01,-0.0105
QIM,Quantitative Global Program,2021-04-01,-0.0042
QIM,Quantitative Global Program,2021-05-01,0.0218
QIM,Quantitative Global Program,2021-06-01,-0.054
QIM,Quantitative Global Program,2021-07-01,0.0266
QIM,Quantitative Global Program,2021-08-01,-0.0116
QIM,Quantitative Global Program,2021-09-01,0.0363
QIM,Quantitative Global Program,2021-10-01,-0.0033
QIM,Quantitative Global Program,2021-11-01,0.0268
QIM,Quantitative Global Program,2021-12-01,-0.0341
QIM,Quantitative Global Program,2022-01-01,0.1017
QIM,Quantitative Global Program,2022-02-01,-0.004
QIM,Quantitative Global Program,2022-03-01,0.0875
QIM,Quantitative Global Program,2022-04-01,0.0124
QIM,Quantitative Global Program,2022-05-01,0.0069
QIM,Quantitative Global Program,2022-06-01,0.0011
QIM,Quantitative Global Program,2022-07-01,0.0111
QIM,Quantitative Global Program,2022-08-01,-0.024
QIM,Quantitative Global Program,2022-09-01,-0.0556
QIM,Quantitative Global Program,2022-10-01,0.0487
QIM,Quantitative Global Program,2022-11-01,0.0237
QIM,Quantitative Global Program,2022-12-01,-0.0212
QIM,Quantitative Global Program,2023-01-01,-0.0107
QIM,Quantitative Global Program,2023-02-01,-0.0327
QIM,Quantitative Global Program,2023-03-01,0.0044
QIM,Quantitative Global Program,2023-04-01,0.0149
QIM,Quantitative Global Program,2023-05-01,-0.0173
QIM,Quantitative Global Program,2023-06-01,0.0122
QIM,Quantitative Global Program,2023-07-01,0.028
QIM,Quantitative Global Program,2023-08-01,-0.0457
QIM,Quantitative Global Program,2023-09-01,-0.0303
QIM,Quantitative Global Program,2023-10-01,-0.0495
QIM,Quantitative Global Program,2023-11-01,-0.0095
QIM,Quantitative Global Program,2023-12-01,-0.0478
QIM,Quantitative Global Program,2024-01-01,0.038
QIM,Quantitative Global Program,2024-02-01,-0.007
QIM,Quantitative Global Program,2024-03-01,-0.0223
QIM,Quantitative Global Program,2024-04-01,0.0145
QIM,Quantitative Global Program,2024-05-01,0.0262
QIM,Quantitative Global Program,2024-06-01,0.0081
,,,
