Manager,Fund,Date,Change
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2021-08-01,0.0913
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2021-09-01,0.0529
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2021-10-01,0.0505
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2021-11-01,0.0121
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2021-12-01,-0.0328
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-01-01,0.0352
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-02-01,0.1065
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-03-01,0.0489
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-04-01,0.0278
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-05-01,0.0012
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-06-01,-0.0186
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-07-01,0.0117
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-08-01,0.0028
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-09-01,0.0001
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-10-01,0.053
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-11-01,-0.0023
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2022-12-01,0.0306
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-01-01,0.0296
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-02-01,-0.0129
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-03-01,0.0155
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-04-01,0.0224
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-05-01,-0.0075
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-06-01,-0.0044
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-07-01,0.0073
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-08-01,0.0102
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-09-01,0.0002
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-10-01,-0.0127
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-11-01,0.041
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2023-12-01,0.0362
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2024-01-01,-0.0077
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2024-02-01,0.0305
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2024-03-01,0.0289
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2024-04-01,0.0185
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2024-05-01,0.0418
Rhicon Currency Management,Rhicon Third Wave Systematic Strategy ,2024-06-01,-0.0135
