Manager,Fund,Date,Change
Sachem Capital,Sachem Head Master LP,2020-01-01,-0.015
Sachem Capital,Sachem Head Master LP,2020-02-01,-0.015
Sachem Capital,Sachem Head Master LP,2020-03-01,-0.111
Sachem Capital,Sachem Head Master LP,2020-04-01,0.095
Sachem Capital,Sachem Head Master LP,2020-05-01,0.058
Sachem Capital,Sachem Head Master LP,2020-06-01,-0.015
Sachem Capital,Sachem Head Master LP,2020-07-01,0.05
Sachem Capital,Sachem Head Master LP,2020-08-01,0.059
Sachem Capital,Sachem Head Master LP,2020-09-01,0.028
Sachem Capital,Sachem Head Master LP,2020-10-01,0.037
Sachem Capital,Sachem Head Master LP,2020-11-01,0.152
Sachem Capital,Sachem Head Master LP,2020-12-01,0.079
Sachem Capital,Sachem Head Master LP,2021-01-01,-0.03
Sachem Capital,Sachem Head Master LP,2021-02-01,0.107
Sachem Capital,Sachem Head Master LP,2021-03-01,0.021
Sachem Capital,Sachem Head Master LP,2021-04-01,0.052
Sachem Capital,Sachem Head Master LP,2021-05-01,0.031
Sachem Capital,Sachem Head Master LP,2021-06-01,-0.008
Sachem Capital,Sachem Head Master LP,2021-07-01,0.01
Sachem Capital,Sachem Head Master LP,2021-08-01,0.015
Sachem Capital,Sachem Head Master LP,2021-09-01,0.003
Sachem Capital,Sachem Head Master LP,2021-10-01,0.026
Sachem Capital,Sachem Head Master LP,2021-11-01,-0.04
Sachem Capital,Sachem Head Master LP,2021-12-01,0.029
Sachem Capital,Sachem Head Master LP,2022-01-01,-0.08
Sachem Capital,Sachem Head Master LP,2022-02-01,0.027
Sachem Capital,Sachem Head Master LP,2022-03-01,0.009
Sachem Capital,Sachem Head Master LP,2022-04-01,-0.01
Sachem Capital,Sachem Head Master LP,2022-05-01,-0.038
Sachem Capital,Sachem Head Master LP,2022-06-01,-0.104
Sachem Capital,Sachem Head Master LP,2022-07-01,0.028
Sachem Capital,Sachem Head Master LP,2022-08-01,-0.049
Sachem Capital,Sachem Head Master LP,2022-09-01,-0.094
Sachem Capital,Sachem Head Master LP,2022-10-01,0.053
Sachem Capital,Sachem Head Master LP,2022-11-01,0.072
Sachem Capital,Sachem Head Master LP,2022-12-01,0.005
Sachem Capital,Sachem Head Master LP,2023-01-01,0.085
Sachem Capital,Sachem Head Master LP,2023-02-01,-0.024
Sachem Capital,Sachem Head Master LP,2023-03-01,0.022
Sachem Capital,Sachem Head Master LP,2023-04-01,0.007
Sachem Capital,Sachem Head Master LP,2023-05-01,0.037
Sachem Capital,Sachem Head Master LP,2023-06-01,0.028
Sachem Capital,Sachem Head Master LP,2023-07-01,0.042
Sachem Capital,Sachem Head Master LP,2023-08-01,-0.032
Sachem Capital,Sachem Head Master LP,2023-09-01,-0.04
Sachem Capital,Sachem Head Master LP,2023-10-01,-0.015
Sachem Capital,Sachem Head Master LP,2023-11-01,0.052
Sachem Capital,Sachem Head Master LP,2023-12-01,0.072
Sachem Capital,Sachem Head Master LP,2024-01-01,0
Sachem Capital,Sachem Head Master LP,2024-02-01,0.067
Sachem Capital,Sachem Head Master LP,2024-03-01,0.035
Sachem Capital,Sachem Head Master LP,2024-04-01,-0.016
Sachem Capital,Sachem Head Master LP,2024-05-01,0.03
Sachem Capital,Sachem Head Master LP,2024-06-01,-0.042
