Manager,Fund,Date,Change
Samson Rock Investor Relations,Samson Rock Special Situations ,2021-07-01,-0.01
Samson Rock Investor Relations,Samson Rock Special Situations ,2021-08-01,0.0183
Samson Rock Investor Relations,Samson Rock Special Situations ,2021-09-01,0.023
Samson Rock Investor Relations,Samson Rock Special Situations ,2021-10-01,-0.0037
Samson Rock Investor Relations,Samson Rock Special Situations ,2021-11-01,0.0033
Samson Rock Investor Relations,Samson Rock Special Situations ,2021-12-01,0.0348
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-01-01,0.0286
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-02-01,0.0039
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-03-01,0.0109
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-04-01,0.0097
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-05-01,-0.0033
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-06-01,0.0016
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-07-01,-0.0038
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-08-01,0.0145
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-09-01,0.0191
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-10-01,0.0042
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-11-01,-0.0049
Samson Rock Investor Relations,Samson Rock Special Situations ,2022-12-01,-0.0167
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-01-01,-0.0183
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-02-01,0.0089
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-03-01,0.0166
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-04-01,0.0287
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-05-01,-0.0381
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-06-01,-0.0259
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-07-01,-0.0222
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-08-01,0.0034
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-09-01,0.013
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-10-01,0.018
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-11-01,0.0162
Samson Rock Investor Relations,Samson Rock Special Situations ,2023-12-01,0.0339
Samson Rock Investor Relations,Samson Rock Special Situations ,2024-01-01,0.0331
Samson Rock Investor Relations,Samson Rock Special Situations ,2024-02-01,-0.0001
Samson Rock Investor Relations,Samson Rock Special Situations ,2024-03-01,0.0067
Samson Rock Investor Relations,Samson Rock Special Situations ,2024-04-01,-0.0116
Samson Rock Investor Relations,Samson Rock Special Situations ,2024-05-01,0.0024
Samson Rock Investor Relations,Samson Rock Special Situations ,2024-06-01,-0.0079
