Manager,Fund,Date,Change
Silver Creek,SMI Defensive LP,2019-01-01,0.022
Silver Creek,SMI Defensive LP,2019-02-01,0.001
Silver Creek,SMI Defensive LP,2019-03-01,0.011
Silver Creek,SMI Defensive LP,2019-04-01,0.003
Silver Creek,SMI Defensive LP,2019-05-01,0.01
Silver Creek,SMI Defensive LP,2019-06-01,0.005
Silver Creek,SMI Defensive LP,2019-07-01,0.004
Silver Creek,SMI Defensive LP,2019-08-01,0.003
Silver Creek,SMI Defensive LP,2019-09-01,0.021
Silver Creek,SMI Defensive LP,2019-10-01,0.003
Silver Creek,SMI Defensive LP,2019-11-01,0.002
Silver Creek,SMI Defensive LP,2019-12-01,0.005
Silver Creek,SMI Defensive LP,2020-01-01,-0.009
Silver Creek,SMI Defensive LP,2020-02-01,0.011
Silver Creek,SMI Defensive LP,2020-03-01,-0.15
Silver Creek,SMI Defensive LP,2020-04-01,0.008
Silver Creek,SMI Defensive LP,2020-05-01,0.002
Silver Creek,SMI Defensive LP,2020-06-01,0.007
Silver Creek,SMI Defensive LP,2020-07-01,0.006
Silver Creek,SMI Defensive LP,2020-08-01,0.003
Silver Creek,SMI Defensive LP,2020-09-01,0.004
Silver Creek,SMI Defensive LP,2020-10-01,0.013
Silver Creek,SMI Defensive LP,2020-11-01,0.021
Silver Creek,SMI Defensive LP,2020-12-01,0.043
Silver Creek,SMI Defensive LP,2021-01-01,0.063
Silver Creek,SMI Defensive LP,2021-02-01,0.065
Silver Creek,SMI Defensive LP,2021-03-01,0.043
Silver Creek,SMI Defensive LP,2021-04-01,0.03
Silver Creek,SMI Defensive LP,2021-05-01,0.017
Silver Creek,SMI Defensive LP,2021-06-01,0.015
Silver Creek,SMI Defensive LP,2021-07-01,0.016
Silver Creek,SMI Defensive LP,2021-08-01,0.022
Silver Creek,SMI Defensive LP,2021-09-01,0.021
Silver Creek,SMI Defensive LP,2021-10-01,0.017
Silver Creek,SMI Defensive LP,2021-11-01,0.015
Silver Creek,SMI Defensive LP,2021-12-01,0.052
Silver Creek,SMI Defensive LP,2022-01-01,0.018
Silver Creek,SMI Defensive LP,2022-02-01,0.019
Silver Creek,SMI Defensive LP,2022-03-01,0.015
Silver Creek,SMI Defensive LP,2022-04-01,0.01
Silver Creek,SMI Defensive LP,2022-05-01,0.014
Silver Creek,SMI Defensive LP,2022-06-01,0.01
Silver Creek,SMI Defensive LP,2022-07-01,0.006
Silver Creek,SMI Defensive LP,2022-08-01,0.01
Silver Creek,SMI Defensive LP,2022-09-01,0.006
Silver Creek,SMI Defensive LP,2022-10-01,0.01
Silver Creek,SMI Defensive LP,2022-11-01,0.011
Silver Creek,SMI Defensive LP,2022-12-01,0.004
Silver Creek,SMI Defensive LP,2023-01-01,0.013
Silver Creek,SMI Defensive LP,2023-02-01,0.011
Silver Creek,SMI Defensive LP,2023-03-01,0.007
Silver Creek,SMI Defensive LP,2023-04-01,0.01
Silver Creek,SMI Defensive LP,2023-05-01,0.003
Silver Creek,SMI Defensive LP,2023-06-01,0.012
Silver Creek,SMI Defensive LP,2023-07-01,0.011
Silver Creek,SMI Defensive LP,2023-08-01,0.011
Silver Creek,SMI Defensive LP,2023-09-01,0.004
Silver Creek,SMI Defensive LP,2023-10-01,0.001
Silver Creek,SMI Defensive LP,2023-11-01,0.017
Silver Creek,SMI Defensive LP,2023-12-01,0.016
Silver Creek,SMI Defensive LP,2024-01-01,0.014
Silver Creek,SMI Defensive LP,2024-02-01,0.013
Silver Creek,SMI Defensive LP,2024-03-01,0.022
Silver Creek,SMI Defensive LP,2024-04-01,0.002
Silver Creek,SMI Defensive LP,2024-05-01,0.008
Silver Creek,SMI Defensive LP,2024-06-01,0.006
