Manager,Fund,Date,Change
Springfield Capital Management,Springfield Capital Master Fund LP,2019-04-01,0.003
Springfield Capital Management,Springfield Capital Master Fund LP,2019-05-01,-0.036
Springfield Capital Management,Springfield Capital Master Fund LP,2019-06-01,-0.004
Springfield Capital Management,Springfield Capital Master Fund LP,2019-07-01,-0.002
Springfield Capital Management,Springfield Capital Master Fund LP,2019-08-01,0.061
Springfield Capital Management,Springfield Capital Master Fund LP,2019-09-01,-0.069
Springfield Capital Management,Springfield Capital Master Fund LP,2019-10-01,-0.005
Springfield Capital Management,Springfield Capital Master Fund LP,2019-11-01,-0.024
Springfield Capital Management,Springfield Capital Master Fund LP,2019-12-01,0.002
Springfield Capital Management,Springfield Capital Master Fund LP,2020-01-01,0.193
Springfield Capital Management,Springfield Capital Master Fund LP,2020-02-01,0.13
Springfield Capital Management,Springfield Capital Master Fund LP,2020-03-01,-0.05
Springfield Capital Management,Springfield Capital Master Fund LP,2020-04-01,0.113
Springfield Capital Management,Springfield Capital Master Fund LP,2020-05-01,0.13
Springfield Capital Management,Springfield Capital Master Fund LP,2020-06-01,0.039
Springfield Capital Management,Springfield Capital Master Fund LP,2020-07-01,0.092
Springfield Capital Management,Springfield Capital Master Fund LP,2020-08-01,-0.017
Springfield Capital Management,Springfield Capital Master Fund LP,2020-09-01,0.034
Springfield Capital Management,Springfield Capital Master Fund LP,2020-10-01,0.025
Springfield Capital Management,Springfield Capital Master Fund LP,2020-11-01,0.023
Springfield Capital Management,Springfield Capital Master Fund LP,2020-12-01,-0.003
Springfield Capital Management,Springfield Capital Master Fund LP,2021-01-01,0.056
Springfield Capital Management,Springfield Capital Master Fund LP,2021-02-01,0.083
Springfield Capital Management,Springfield Capital Master Fund LP,2021-03-01,0.025
Springfield Capital Management,Springfield Capital Master Fund LP,2021-04-01,0.023
Springfield Capital Management,Springfield Capital Master Fund LP,2021-05-01,0.009
Springfield Capital Management,Springfield Capital Master Fund LP,2021-06-01,0.083
Springfield Capital Management,Springfield Capital Master Fund LP,2021-07-01,-0.019
Springfield Capital Management,Springfield Capital Master Fund LP,2021-08-01,-0.014
Springfield Capital Management,Springfield Capital Master Fund LP,2021-09-01,0.019
Springfield Capital Management,Springfield Capital Master Fund LP,2021-10-01,0.058
Springfield Capital Management,Springfield Capital Master Fund LP,2021-11-01,0.038
Springfield Capital Management,Springfield Capital Master Fund LP,2021-12-01,-0.018
Springfield Capital Management,Springfield Capital Master Fund LP,2022-01-01,0.06
Springfield Capital Management,Springfield Capital Master Fund LP,2022-02-01,0.002
Springfield Capital Management,Springfield Capital Master Fund LP,2022-03-01,0.007
Springfield Capital Management,Springfield Capital Master Fund LP,2022-04-01,0.068
Springfield Capital Management,Springfield Capital Master Fund LP,2022-05-01,-0.036
Springfield Capital Management,Springfield Capital Master Fund LP,2022-06-01,-0.014
Springfield Capital Management,Springfield Capital Master Fund LP,2022-07-01,0.004
Springfield Capital Management,Springfield Capital Master Fund LP,2022-08-01,0.049
Springfield Capital Management,Springfield Capital Master Fund LP,2022-09-01,-0.034
Springfield Capital Management,Springfield Capital Master Fund LP,2022-10-01,0.006
Springfield Capital Management,Springfield Capital Master Fund LP,2022-11-01,-0.048
Springfield Capital Management,Springfield Capital Master Fund LP,2022-12-01,-0.007
Springfield Capital Management,Springfield Capital Master Fund LP,2023-01-01,0.033
Springfield Capital Management,Springfield Capital Master Fund LP,2023-02-01,0.016
Springfield Capital Management,Springfield Capital Master Fund LP,2023-03-01,-0.026
Springfield Capital Management,Springfield Capital Master Fund LP,2023-04-01,0.003
Springfield Capital Management,Springfield Capital Master Fund LP,2023-05-01,0.03
Springfield Capital Management,Springfield Capital Master Fund LP,2023-06-01,0.005
Springfield Capital Management,Springfield Capital Master Fund LP,2023-07-01,0.003
Springfield Capital Management,Springfield Capital Master Fund LP,2023-08-01,0.01
Springfield Capital Management,Springfield Capital Master Fund LP,2023-09-01,-0.019
Springfield Capital Management,Springfield Capital Master Fund LP,2023-10-01,0.055
Springfield Capital Management,Springfield Capital Master Fund LP,2023-11-01,0.043
Springfield Capital Management,Springfield Capital Master Fund LP,2023-12-01,0.013
Springfield Capital Management,Springfield Capital Master Fund LP,2024-01-01,0.01
Springfield Capital Management,Springfield Capital Master Fund LP,2024-02-01,0.023
Springfield Capital Management,Springfield Capital Master Fund LP,2024-03-01,-0.012
Springfield Capital Management,Springfield Capital Master Fund LP,2024-04-01,-0.013
Springfield Capital Management,Springfield Capital Master Fund LP,2024-05-01,-0.052
Springfield Capital Management,Springfield Capital Master Fund LP,2024-06-01,-0.019
