Manager,Fund,Date,Change
Versor Investments,Versor Equity Prism,2022-01-01,0.014
Versor Investments,Versor Equity Prism,2022-02-01,0.014
Versor Investments,Versor Equity Prism,2022-03-01,0.0215
Versor Investments,Versor Equity Prism,2022-04-01,-0.0042
Versor Investments,Versor Equity Prism,2022-05-01,0.0092
Versor Investments,Versor Equity Prism,2022-06-01,0.0164
Versor Investments,Versor Equity Prism,2022-07-01,-0.0141
Versor Investments,Versor Equity Prism,2022-08-01,0.0283
Versor Investments,Versor Equity Prism,2022-09-01,-0.0075
Versor Investments,Versor Equity Prism,2022-10-01,0.0023
Versor Investments,Versor Equity Prism,2022-11-01,0.0182
Versor Investments,Versor Equity Prism,2022-12-01,-0.0003
Versor Investments,Versor Equity Prism,2023-01-01,-0.0102
Versor Investments,Versor Equity Prism,2023-02-01,0.0186
Versor Investments,Versor Equity Prism,2023-03-01,-0.0122
Versor Investments,Versor Equity Prism,2023-04-01,-0.0121
Versor Investments,Versor Equity Prism,2023-05-01,0.0233
Versor Investments,Versor Equity Prism,2023-06-01,0.0194
Versor Investments,Versor Equity Prism,2023-07-01,0.0119
Versor Investments,Versor Equity Prism,2023-08-01,0.0245
Versor Investments,Versor Equity Prism,2023-09-01,0.0101
Versor Investments,Versor Equity Prism,2023-10-01,0.0019
Versor Investments,Versor Equity Prism,2023-11-01,0.003
Versor Investments,Versor Equity Prism,2023-12-01,-0.0532
Versor Investments,Versor Equity Prism,2024-01-01,0.0125
Versor Investments,Versor Equity Prism,2024-02-01,-0.0292
Versor Investments,Versor Equity Prism,2024-03-01,0.046
Versor Investments,Versor Equity Prism,2024-04-01,0.0091
Versor Investments,Versor Equity Prism,2024-05-01,0.0062
Versor Investments,Versor Equity Prism,2024-06-01,-0.0081
