Manager,Fund,Date,Change
Wolverine Asset Management,Wolverine Flagship ,2019-01-01,0.0258
Wolverine Asset Management,Wolverine Flagship ,2019-02-01,0.014
Wolverine Asset Management,Wolverine Flagship ,2019-03-01,0.05
Wolverine Asset Management,Wolverine Flagship ,2019-04-01,0.088
Wolverine Asset Management,Wolverine Flagship ,2019-05-01,-0.0072
Wolverine Asset Management,Wolverine Flagship ,2019-06-01,0.0159
Wolverine Asset Management,Wolverine Flagship ,2019-07-01,0.0083
Wolverine Asset Management,Wolverine Flagship ,2019-08-01,0.0008
Wolverine Asset Management,Wolverine Flagship ,2019-09-01,0.0081
Wolverine Asset Management,Wolverine Flagship ,2019-10-01,0.0029
Wolverine Asset Management,Wolverine Flagship ,2019-11-01,0.0039
Wolverine Asset Management,Wolverine Flagship ,2019-12-01,0.0153
Wolverine Asset Management,Wolverine Flagship ,2020-01-01,0.0061
Wolverine Asset Management,Wolverine Flagship ,2020-02-01,-0.0031
Wolverine Asset Management,Wolverine Flagship ,2020-03-01,-0.1056
Wolverine Asset Management,Wolverine Flagship ,2020-04-01,0.0266
Wolverine Asset Management,Wolverine Flagship ,2020-05-01,0.0292
Wolverine Asset Management,Wolverine Flagship ,2020-06-01,0.0345
Wolverine Asset Management,Wolverine Flagship ,2020-07-01,0.0511
Wolverine Asset Management,Wolverine Flagship ,2020-08-01,0.0175
Wolverine Asset Management,Wolverine Flagship ,2020-09-01,0.012
Wolverine Asset Management,Wolverine Flagship ,2020-10-01,0.0048
Wolverine Asset Management,Wolverine Flagship ,2020-11-01,0.0339
Wolverine Asset Management,Wolverine Flagship ,2020-12-01,0.0331
Wolverine Asset Management,Wolverine Flagship ,2021-01-01,0.0235
Wolverine Asset Management,Wolverine Flagship ,2021-02-01,0.0314
Wolverine Asset Management,Wolverine Flagship ,2021-03-01,-0.0114
Wolverine Asset Management,Wolverine Flagship ,2021-04-01,0.0025
Wolverine Asset Management,Wolverine Flagship ,2021-05-01,0.0045
Wolverine Asset Management,Wolverine Flagship ,2021-06-01,0.006
Wolverine Asset Management,Wolverine Flagship ,2021-07-01,0.0012
Wolverine Asset Management,Wolverine Flagship ,2021-08-01,0.0074
Wolverine Asset Management,Wolverine Flagship ,2021-09-01,0.0131
Wolverine Asset Management,Wolverine Flagship ,2021-10-01,0.0178
Wolverine Asset Management,Wolverine Flagship ,2021-11-01,-0.0059
Wolverine Asset Management,Wolverine Flagship ,2021-12-01,0.0132
Wolverine Asset Management,Wolverine Flagship ,2022-01-01,0.0092
Wolverine Asset Management,Wolverine Flagship ,2022-02-01,0.012
Wolverine Asset Management,Wolverine Flagship ,2022-03-01,0.0064
Wolverine Asset Management,Wolverine Flagship ,2022-04-01,0.0105
Wolverine Asset Management,Wolverine Flagship ,2022-05-01,-0.0219
Wolverine Asset Management,Wolverine Flagship ,2022-06-01,-0.0126
Wolverine Asset Management,Wolverine Flagship ,2022-07-01,0.0107
Wolverine Asset Management,Wolverine Flagship ,2022-08-01,0.0233
Wolverine Asset Management,Wolverine Flagship ,2022-09-01,-0.0044
Wolverine Asset Management,Wolverine Flagship ,2022-10-01,0.0138
Wolverine Asset Management,Wolverine Flagship ,2022-11-01,0.0038
Wolverine Asset Management,Wolverine Flagship ,2022-12-01,0.0061
Wolverine Asset Management,Wolverine Flagship ,2023-01-01,0.0155
Wolverine Asset Management,Wolverine Flagship ,2023-02-01,0.0088
Wolverine Asset Management,Wolverine Flagship ,2023-03-01,-0.0047
Wolverine Asset Management,Wolverine Flagship ,2023-04-01,0.0022
Wolverine Asset Management,Wolverine Flagship ,2023-05-01,0.0078
Wolverine Asset Management,Wolverine Flagship ,2023-06-01,0.0165
Wolverine Asset Management,Wolverine Flagship ,2023-07-01,0.0099
Wolverine Asset Management,Wolverine Flagship ,2023-08-01,0.0031
Wolverine Asset Management,Wolverine Flagship ,2023-09-01,-0.0007
Wolverine Asset Management,Wolverine Flagship ,2023-10-01,-0.0068
Wolverine Asset Management,Wolverine Flagship ,2023-11-01,0.0136
Wolverine Asset Management,Wolverine Flagship ,2023-12-01,0.0122
Wolverine Asset Management,Wolverine Flagship ,2024-01-01,0.0103
Wolverine Asset Management,Wolverine Flagship ,2024-02-01,0.0107
Wolverine Asset Management,Wolverine Flagship ,2024-03-01,0.0154
Wolverine Asset Management,Wolverine Flagship ,2024-04-01,0.0041
Wolverine Asset Management,Wolverine Flagship ,2024-05-01,0.0053
Wolverine Asset Management,Wolverine Flagship ,2024-06-01,0.0049
,,,
