Manager,Fund,Date,Change
Yieldpoint,Yieldpoint Stable Value Fund,2020-06-01,0.0064
Yieldpoint,Yieldpoint Stable Value Fund,2020-07-01,0.0066
Yieldpoint,Yieldpoint Stable Value Fund,2020-08-01,0.0065
Yieldpoint,Yieldpoint Stable Value Fund,2020-09-01,0.0062
Yieldpoint,Yieldpoint Stable Value Fund,2020-10-01,0.0063
Yieldpoint,Yieldpoint Stable Value Fund,2020-11-01,0.0062
Yieldpoint,Yieldpoint Stable Value Fund,2020-12-01,0.0059
Yieldpoint,Yieldpoint Stable Value Fund,2021-01-01,0.0059
Yieldpoint,Yieldpoint Stable Value Fund,2021-02-01,0.005
Yieldpoint,Yieldpoint Stable Value Fund,2021-03-01,0.0063
Yieldpoint,Yieldpoint Stable Value Fund,2021-04-01,0.0061
Yieldpoint,Yieldpoint Stable Value Fund,2021-05-01,0.0057
Yieldpoint,Yieldpoint Stable Value Fund,2021-06-01,0.0056
Yieldpoint,Yieldpoint Stable Value Fund,2021-07-01,0.0067
Yieldpoint,Yieldpoint Stable Value Fund,2021-08-01,0.0069
Yieldpoint,Yieldpoint Stable Value Fund,2021-09-01,0.0066
Yieldpoint,Yieldpoint Stable Value Fund,2021-10-01,0.0069
Yieldpoint,Yieldpoint Stable Value Fund,2021-11-01,0.0068
Yieldpoint,Yieldpoint Stable Value Fund,2021-12-01,0.0067
Yieldpoint,Yieldpoint Stable Value Fund,2022-01-01,0.0059
Yieldpoint,Yieldpoint Stable Value Fund,2022-02-01,0.0051
Yieldpoint,Yieldpoint Stable Value Fund,2022-03-01,0.0059
Yieldpoint,Yieldpoint Stable Value Fund,2022-04-01,0.0056
Yieldpoint,Yieldpoint Stable Value Fund,2022-05-01,0.0061
Yieldpoint,Yieldpoint Stable Value Fund,2022-06-01,0.0061
Yieldpoint,Yieldpoint Stable Value Fund,2022-07-01,0.0067
Yieldpoint,Yieldpoint Stable Value Fund,2022-08-01,0.0067
Yieldpoint,Yieldpoint Stable Value Fund,2022-09-01,0.0063
Yieldpoint,Yieldpoint Stable Value Fund,2022-10-01,0.0072
Yieldpoint,Yieldpoint Stable Value Fund,2022-11-01,0.007
Yieldpoint,Yieldpoint Stable Value Fund,2022-12-01,0.0071
Yieldpoint,Yieldpoint Stable Value Fund,2023-01-01,0.0075
Yieldpoint,Yieldpoint Stable Value Fund,2023-02-01,0.0066
Yieldpoint,Yieldpoint Stable Value Fund,2023-03-01,0.0076
Yieldpoint,Yieldpoint Stable Value Fund,2023-04-01,0.0076
Yieldpoint,Yieldpoint Stable Value Fund,2023-05-01,0.008
Yieldpoint,Yieldpoint Stable Value Fund,2023-06-01,0.0079
Yieldpoint,Yieldpoint Stable Value Fund,2023-07-01,0.0092
Yieldpoint,Yieldpoint Stable Value Fund,2023-08-01,0.0092
Yieldpoint,Yieldpoint Stable Value Fund,2023-09-01,0.0087
Yieldpoint,Yieldpoint Stable Value Fund,2023-10-01,0.0094
Yieldpoint,Yieldpoint Stable Value Fund,2023-11-01,0.0089
Yieldpoint,Yieldpoint Stable Value Fund,2023-12-01,0.0094
Yieldpoint,Yieldpoint Stable Value Fund,2024-01-01,0.0093
Yieldpoint,Yieldpoint Stable Value Fund,2024-02-01,0.0083
Yieldpoint,Yieldpoint Stable Value Fund,2024-03-01,0.0088
Yieldpoint,Yieldpoint Stable Value Fund,2024-04-01,0.009
Yieldpoint,Yieldpoint Stable Value Fund,2024-05-01,0.0088
