Benchmark,Date,Change
S&P 500 Total Return,2019-01-01,0.0917
S&P 500 Total Return,2019-02-01,0.0304
S&P 500 Total Return,2019-03-01,0.0129
S&P 500 Total Return,2019-04-01,0.0341
S&P 500 Total Return,2019-05-01,-0.0678
S&P 500 Total Return,2019-06-01,0.0705
S&P 500 Total Return,2019-07-01,0.0144
S&P 500 Total Return,2019-08-01,-0.0158
S&P 500 Total Return,2019-09-01,0.0187
S&P 500 Total Return,2019-10-01,0.0217
S&P 500 Total Return,2019-11-01,0.0363
S&P 500 Total Return,2019-12-01,0.0302
S&P 500 Total Return,2020-01-01,-0.0004
S&P 500 Total Return,2020-02-01,-0.0823
S&P 500 Total Return,2020-03-01,-0.1235
S&P 500 Total Return,2020-04-01,0.1285
S&P 500 Total Return,2020-05-01,0.0476
S&P 500 Total Return,2020-06-01,0.0199
S&P 500 Total Return,2020-07-01,0.0564
S&P 500 Total Return,2020-08-01,0.0719
S&P 500 Total Return,2020-09-01,-0.038
S&P 500 Total Return,2020-10-01,-0.0266
S&P 500 Total Return,2020-11-01,0.1095
S&P 500 Total Return,2020-12-01,0.0384
S&P 500 Total Return,2021-01-01,-0.0101
S&P 500 Total Return,2021-02-01,0.0276
S&P 500 Total Return,2021-03-01,0.0438
S&P 500 Total Return,2021-04-01,0.0534
S&P 500 Total Return,2021-05-01,0.007
S&P 500 Total Return,2021-06-01,0.0233
S&P 500 Total Return,2021-07-01,0.0238
S&P 500 Total Return,2021-08-01,0.0304
S&P 500 Total Return,2021-09-01,-0.0465
S&P 500 Total Return,2021-10-01,0.0701
S&P 500 Total Return,2021-11-01,-0.0069
S&P 500 Total Return,2021-12-01,0.0448
S&P 500 Total Return,2022-01-01,-0.0517
S&P 500 Total Return,2022-02-01,-0.0299
S&P 500 Total Return,2022-03-01,0.0371
S&P 500 Total Return,2022-04-01,-0.0872
S&P 500 Total Return,2022-05-01,0.0018
S&P 500 Total Return,2022-06-01,-0.0825
S&P 500 Total Return,2022-07-01,0.0922
S&P 500 Total Return,2022-08-01,-0.0408
S&P 500 Total Return,2022-09-01,-0.0921
S&P 500 Total Return,2022-10-01,0.081
S&P 500 Total Return,2022-11-01,0.0559
S&P 500 Total Return,2022-12-01,-0.0576
S&P 500 Total Return,2023-01-01,0.0628
S&P 500 Total Return,2023-02-01,-0.0244
S&P 500 Total Return,2023-03-01,0.0367
S&P 500 Total Return,2023-04-01,0.0156
S&P 500 Total Return,2023-05-01,0.0043
S&P 500 Total Return,2023-06-01,0.0661
S&P 500 Total Return,2023-07-01,0.0321
S&P 500 Total Return,2023-08-01,-0.0159
S&P 500 Total Return,2023-09-01,-0.0477
S&P 500 Total Return,2023-10-01,-0.021
S&P 500 Total Return,2023-11-01,0.0913
S&P 500 Total Return,2023-12-01,0.0454
S&P 500 Total Return,2024-01-01,0.0168
S&P 500 Total Return,2024-02-01,0.0534
S&P 500 Total Return,2024-03-01,0.0322
S&P 500 Total Return,2024-04-01,-0.0408
S&P 500 Total Return,2024-05-01,0.0496
S&P 500 Total Return,2024-06-01,0.0359
